"Package","Version","LibPath"
"abind","1.4-8","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"aisdk","1.4.12","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"annotate","1.90.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"AnnotationDbi","1.74.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"ape","5.8-1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"aplot","0.3.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"askpass","1.2.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"assorthead","1.6.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"base64enc","0.1-6","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"beachmat","2.28.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BH","1.90.0-1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"Biobase","2.72.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BiocFileCache","3.2.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BiocGenerics","0.58.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"biocmake","1.4.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BiocManager","1.30.27","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BiocParallel","1.46.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BiocSingular","1.28.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BiocVersion","3.23.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"Biostrings","2.80.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"bit","4.6.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"bit64","4.8.6","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"blob","1.3.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"bslib","0.12.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"cachem","1.1.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"callr","3.8.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"cli","3.6.6","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"clipr","0.8.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
