"Package","Version","LibPath"
"abind","1.4-8","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"askpass","1.2.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"Biobase","2.72.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BiocGenerics","0.58.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BiocManager","1.30.27","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"BiocVersion","3.23.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"bit","4.6.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"bit64","4.8.6","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"cli","3.6.6","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"clipr","0.8.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"cpp11","0.5.5","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"crayon","1.5.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"curl","8.0.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"data.table","1.18.6.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"DelayedArray","0.38.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"dplyr","1.2.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"edgeR","4.10.4","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"farver","2.1.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"generics","0.1.4","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"GenomicRanges","1.64.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"GEOquery","2.80.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"ggplot2","4.0.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"glue","1.8.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"gtable","0.3.6","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"hms","1.1.4","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"httr","1.4.9","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"httr2","1.3.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"IRanges","2.46.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"isoband","0.3.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"jsonlite","2.0.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"labeling","0.4.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"lifecycle","1.0.5","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"limma","3.68.5","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"locfit","1.5-9.12","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"magrittr","2.0.5","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"MatrixGenerics","1.24.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"matrixStats","1.5.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"mime","0.13","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"openssl","2.4.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"pheatmap","1.0.13","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"pillar","1.11.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"pkgconfig","2.0.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"prettyunits","1.2.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"progress","1.2.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"purrr","1.2.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"R.methodsS3","1.8.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"R.oo","1.27.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"R.utils","2.13.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"R6","2.6.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"RColorBrewer","1.1-3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"readr","2.2.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"rentrez","1.2.4","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"rlang","1.3.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"rvest","1.0.5","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"S4Arrays","1.12.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"S4Vectors","0.50.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"S7","0.2.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"scales","1.4.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"selectr","0.6-0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"Seqinfo","1.2.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"SparseArray","1.12.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"statmod","1.5.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"stringi","1.8.9","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"stringr","1.6.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"SummarizedExperiment","1.42.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"sys","3.4.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"tibble","3.3.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"tidyr","1.3.2","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"tidyselect","1.2.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"tzdb","0.5.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"utf8","1.2.6","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"vctrs","0.7.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"viridisLite","0.4.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"vroom","1.7.1","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"withr","3.0.3","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"XML","3.99-0.24","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"xml2","1.6.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"XVector","0.52.0","C:/Users/velpro/AppData/Local/R/win-library/4.6"
"base","4.6.0","C:/Program Files/R/R-4.6.0/library"
"boot","1.3-32","C:/Program Files/R/R-4.6.0/library"
"class","7.3-23","C:/Program Files/R/R-4.6.0/library"
"cluster","2.1.8.2","C:/Program Files/R/R-4.6.0/library"
"codetools","0.2-20","C:/Program Files/R/R-4.6.0/library"
"compiler","4.6.0","C:/Program Files/R/R-4.6.0/library"
"datasets","4.6.0","C:/Program Files/R/R-4.6.0/library"
"foreign","0.8-91","C:/Program Files/R/R-4.6.0/library"
"graphics","4.6.0","C:/Program Files/R/R-4.6.0/library"
"grDevices","4.6.0","C:/Program Files/R/R-4.6.0/library"
"grid","4.6.0","C:/Program Files/R/R-4.6.0/library"
"KernSmooth","2.23-26","C:/Program Files/R/R-4.6.0/library"
"lattice","0.22-9","C:/Program Files/R/R-4.6.0/library"
"MASS","7.3-65","C:/Program Files/R/R-4.6.0/library"
"Matrix","1.7-5","C:/Program Files/R/R-4.6.0/library"
"methods","4.6.0","C:/Program Files/R/R-4.6.0/library"
"mgcv","1.9-4","C:/Program Files/R/R-4.6.0/library"
"nlme","3.1-169","C:/Program Files/R/R-4.6.0/library"
"nnet","7.3-20","C:/Program Files/R/R-4.6.0/library"
