"gene","logFC","SE","statistic","P_value","FDR","mean_expression","AveExpr","t","P.Value","adj.P.Val","B"
"DDR1",-0.261368103532236,0.352397746664162,-0.692496796142652,0.496177960177701,0.754143369794769,5.16650635780178,5.16650635780178,-0.692496796142652,0.496177960177701,0.754143369794769,-4.60782808373471
"RFC2",-0.147346443621399,0.295733906155628,-0.43515343766678,0.667867411029437,0.844377759352294,4.54167966440329,4.54167966440329,-0.43515343766678,0.667867411029437,0.844377759352294,-4.61485316353413
"HSPA6",-0.494371966612776,0.635981797429825,-0.827989606926671,0.417032057319339,0.708642058156265,7.25426419500049,7.25426419500049,-0.827989606926671,0.417032057319339,0.708642058156265,-4.60294959702182
"PAX8",0.316283491100823,0.330894672181611,0.872678977529699,0.392656180233207,0.694057524147223,5.46268031087963,5.46268031087963,0.872678977529699,0.392656180233207,0.694057524147223,-4.60117579047727
"GUCA1A",0.656172193753675,0.290737600681208,1.95689664689658,0.0637149878062591,0.624223528415956,3.19098209180629,3.19098209180629,1.95689664689658,0.0637149878062591,0.624223528415956,-4.53833100157846
"MIR5193",-0.0507238477880649,0.326950955412801,-0.141014999471146,0.889195034664762,0.955906280506604,7.39147689688786,7.39147689688786,-0.141014999471146,0.889195034664762,0.955906280506604,-4.61904283359073
"THRA",0.0730630220679017,0.126297988037868,0.297143454465267,0.769261119000583,0.895330465862941,6.11593148330761,6.11593148330761,0.297143454465267,0.769261119000583,0.895330465862941,-4.61734377460325
"PTPN21",-0.0589323378600815,0.198621432514513,-0.210647872213237,0.835182026183748,0.928157895057237,5.84742930421811,5.84742930421811,-0.210647872213237,0.835182026183748,0.928157895057237,-4.6184334154663
"CCL5",-0.196950855614344,0.586483452787378,-0.353636154069149,0.727154176284224,0.875767604860297,6.5618713430776,6.5618713430776,-0.353636154069149,0.727154176284224,0.875767604860297,-4.61643383916642
"CYP2E1",0.0219910106995888,0.359670605147586,0.0574879945509869,0.954697989487298,0.982148318442306,5.32699803662551,5.32699803662551,0.0574879945509869,0.954697989487298,0.982148318442306,-4.61945624851887
"EPHB3",0.414127061728396,0.511405613523055,0.833158811385816,0.414176192239675,0.706057523945328,5.32616879742798,5.32616879742798,0.833158811385816,0.414176192239675,0.706057523945328,-4.60274834125958
"ESRRA",0.455893451851852,0.350007845624217,1.21321448717623,0.238451442722895,0.628591775708524,6.18866203384774,6.18866203384774,1.21321448717623,0.238451442722895,0.628591775708524,-4.58514005983128
"CYP2A6",0.943554829409172,0.572630262928681,1.7288119466496,0.0985896199728468,0.624223528415956,5.24531175360817,5.24531175360817,1.7288119466496,0.0985896199728468,0.624223528415956,-4.55404417469962
"GAS6",-0.0579250224279839,0.298351906705423,-0.170195410816193,0.866476988934626,0.943680616988328,8.94247168487654,8.94247168487654,-0.170195410816193,0.866476988934626,0.943680616988328,-4.61881666675549
"MMP14",0.587240123889023,0.332364200560175,1.61575655871504,0.120994299688136,0.624223528415956,7.05779947115233,7.05779947115233,1.61575655871504,0.120994299688136,0.624223528415956,-4.56139268970992
"TRADD",-0.000710363991769246,0.375121745891737,-0.00180514381079489,0.998576714305832,0.999526873685717,5.97739731306584,5.97739731306584,-0.00180514381079489,0.998576714305832,0.999526873685717,-4.61953865363541
"CHURC1-FNTB",-0.684796541460905,0.384476707139395,-1.71095768793207,0.101823794493799,0.624223528415956,6.69632508143004,6.69632508143004,-1.71095768793207,0.101823794493799,0.624223528415956,-4.55520545009715
"PLD1",-0.59249971584362,0.355836668332422,-1.55987783918313,0.133671155433386,0.624223528415956,5.08736897417695,5.08736897417695,-1.55987783918313,0.133671155433386,0.624223528415956,-4.56494853847782
"DTX2P1-UPK3BP1-PMS2P11",0.25315603329904,0.296032941585638,0.747200547349292,0.463184435757401,0.737532603150711,6.89987389741084,6.89987389741084,0.747200547349292,0.463184435757401,0.737532603150711,-4.60595345401649
"BAD",-0.0448355138741912,0.265599259320237,-0.1404991847962,0.889597555794319,0.956036362420654,6.02972581002352,6.02972581002352,-0.1404991847962,0.889597555794319,0.956036362420654,-4.61904645153979
"PRPF8",0.0432911172792746,0.293179007844405,0.128490822636417,0.898976798228081,0.959548776416005,7.38405256502291,7.38405256502291,0.128490822636417,0.898976798228081,0.959548776416005,-4.61912694417072
"CAPNS1",-1.16043595720165,0.746955334022483,-1.68552034177286,0.106763263727473,0.624223528415956,8.6322211090535,8.6322211090535,-1.68552034177286,0.106763263727473,0.624223528415956,-4.55690377910323
"RPL35",-1.44126295802469,1.13233731496334,-1.42116635605492,0.170019248463705,0.624223528415956,9.21834399238683,9.21834399238683,-1.42116635605492,0.170019248463705,0.624223528415956,-4.57344932308171
"MIR6805",-0.307736617901234,0.365211974536253,-0.796301142556415,0.434740192816122,0.719398102507188,7.85233931893004,7.85233931893004,-0.796301142556415,0.434740192816122,0.719398102507188,-4.60416130584587
