"sample","missing_fraction","median_expression","mean_expression"
"GSM3039648",0,5.90122027777778,5.87225560801832
"GSM3039649",0,5.90122027777778,5.87225453340257
"GSM3039650",0,5.90122027777778,5.87227939131423
"GSM3039651",0,5.90122027777778,5.8722822293446
"GSM3039652",0,5.90122027777778,5.8722770333055
"GSM3039653",0,5.90122027777778,5.87225701749674
"GSM3039654",0,5.90122027777778,5.8722570785095
"GSM3039655",0,5.90122027777778,5.87225463248886
"GSM3039656",0,5.90122027777778,5.87225362252414
"GSM3039657",0,5.90122027777778,5.87221698711086
"GSM3039658",0,5.90122027777778,5.87225647894715
"GSM3039659",0,5.90122027777778,5.8722544536605
"GSM3039660",0,5.90122027777778,5.87225370788974
"GSM3039661",0,5.90122027777778,5.87225464843118
"GSM3039662",0,5.90122027777778,5.87225416647633
"GSM3039663",0,5.90134429398148,5.87225588145528
"GSM3039664",0,5.90122027777778,5.87225685330473
"GSM3039665",0,5.90122027777778,5.87225445232116
