"file","genes","cells","median_detected_genes","median_counts","median_mt_fraction"
"GSM8121894_athero_human_1.txt.gz",28657,721,6467,316457,0.0255497103196395
"GSM8121895_athero_human_2.txt.gz",28657,441,5724,346742,0.0236630859211342
"GSM8121896_athero_human_3.txt.gz",28657,449,7017,171880,0.0380171036651431
"GSM8121897_athero_human_4.txt.gz",28657,417,6773,222538,0.0257460176571236
"GSM8121898_athero_human_5.txt.gz",28657,223,6850,178184,0.0346151695341771
"GSM8121899_athero_human_6.txt.gz",28657,251,5987,115361,0.0373472905155371
"GSM8121900_athero_human_7.txt.gz",28657,650,7235,216876.5,0.0289140191327881
"GSM8121901_athero_human_8.txt.gz",28657,220,8475,168500,0.0426311643141008
"GSM8121902_athero_human_9.txt.gz",28657,821,6874,268239,0.0250695604643335
"GSM8121903_athero_human_10.txt.gz",28657,433,7110,257974,0.0251662887156856
"GSM8121904_athero_human_11.txt.gz",28657,615,8099,236480,0.0268865196509844
"GSM8121905_athero_human_12.txt.gz",28657,564,7879,176475,0.0348954398790026
"GSM8121906_athero_human_13.txt.gz",28657,897,5924,274453,0.0273757449011996
"GSM8121907_athero_human_14.txt.gz",28657,779,7184,271209,0.0288824456991709
"GSM8121908_athero_human_15.txt.gz",28657,209,8786,169725,0.0358221208665907
