"gene","selection","variance","detection_fraction"
"CD74","canonical_or_high_variance",2.9765175212809,0.942782834850455
"BGN","high_variance",2.95460093381115,0.890507152145644
"COL1A2","canonical_or_high_variance",2.72492237251226,0.827568270481144
"SPP1","high_variance",2.65176990786779,0.683094928478544
"HLA-DRA","high_variance",2.61072493889028,0.766059817945384
"VCAN","high_variance",2.50517304306032,0.921456436931079
"ACTA2","canonical_or_high_variance",2.41878352931365,0.900520156046814
"CCN2","high_variance",2.3796780955603,0.853446033810143
"EFEMP1","high_variance",2.34348217614426,0.856827048114434
"IGFBP7","high_variance",2.29435364112979,0.949674902470741
"AEBP1","high_variance",2.28839264359159,0.791807542262679
"THBS2","high_variance",2.28202229179514,0.774902470741222
"TAGLN","canonical_or_high_variance",2.23585746550603,0.892067620286086
"SPARC","canonical_or_high_variance",2.1878950760026,0.945253576072822
"LAPTM5","high_variance",2.17725588714166,0.682574772431729
"COL1A1","canonical_or_high_variance",2.158086273536,0.770481144343303
"CLU","high_variance",2.13542040310684,0.893368010403121
"HLA-DPA1","high_variance",2.1148601588975,0.80702210663199
"CALD1","canonical_or_high_variance",2.0805983353606,0.845903771131339
"RGS5-ENSG00000143248","high_variance",2.07871827552706,0.705331599479844
"LTBP1","high_variance",2.0191202169446,0.753836150845254
"LUM","canonical_or_high_variance",1.9941981590863,0.673732119635891
"PRELP","high_variance",1.9708428932441,0.840702210663199
"COL3A1","canonical_or_high_variance",1.96815209462066,0.764109232769831
"SPARCL1","high_variance",1.95192709157319,0.820676202860858
"MFAP4","high_variance",1.94824360252386,0.740052015604681
"C1QC","canonical_or_high_variance",1.94822144392894,0.628218465539662
"MGP","high_variance",1.90849056506785,0.929778933680104
"C1R","high_variance",1.9047565779894,0.852535760728218
"SULF1","high_variance",1.86070143244423,0.793758127438231
"FHL1","high_variance",1.81870147320903,0.845643693107932
"C1QA","canonical_or_high_variance",1.80060715593553,0.631599479843953
"CD14","high_variance",1.77709274829484,0.768270481144343
"CCN1","high_variance",1.763237342792,0.806631989596879
"HLA-DRB1","high_variance",1.75428532940113,0.765019505851755
"CD68","canonical_or_high_variance",1.73729386578465,0.844213263979194
"TPM2","canonical_or_high_variance",1.73324672400355,0.815344603381014
"OGN","high_variance",1.72910261960334,0.730819245773732
"TGM2","high_variance",1.70700637548251,0.914954486345904
"CCL3","high_variance",1.70330461098476,0.634330299089727
"IFI30","high_variance",1.68496169339543,0.728348504551365
"C1QB","canonical_or_high_variance",1.6796032284397,0.622496749024707
"AQP1","high_variance",1.67170444273327,0.801430429128739
"POSTN","high_variance",1.67069932295342,0.736540962288687
"RNASE1","high_variance",1.65663623822563,0.648764629388817
"MYH11","canonical_or_high_variance",1.65446404630705,0.805721716514955
"ENSG00000268173","high_variance",1.63068237305434,0.776723016905072
"C1S","high_variance",1.61621168681028,0.819895968790637
"ACTA2-AS1","high_variance",1.61524497259509,0.793758127438231
"TYROBP","canonical_or_high_variance",1.5994048305619,0.64148244473342
"HLA-DPB1","high_variance",1.59772738616979,0.808842652795839
"LTBP2","high_variance",1.58407873191126,0.805851755526658
"THBS1","high_variance",1.55974259388733,0.81443433029909
"ITGB2","high_variance",1.49701071614233,0.637451235370611
"APOE","canonical_or_high_variance",1.49400733010725,0.786475942782835
"ADH1B","high_variance",1.4910111341831,0.691157347204161
"SAT1","high_variance",1.46836631067283,0.93628088426528
"CFH","high_variance",1.46169805895496,0.758127438231469
"CRIP2","high_variance",1.45746762054606,0.823927178153446
"GPNMB","high_variance",1.44781318661705,0.92665799739922
"ENSG00000277089","high_variance",1.43318528558504,0.632899869960988
"DCN","canonical_or_high_variance",1.42625192562687,0.664369310793238
"PLTP","high_variance",1.41586155627463,0.96853055916775
"FRZB","high_variance",1.38084275951655,0.656957087126138
"SERPING1","high_variance",1.37733295739744,0.969180754226268
"CCDC80","high_variance",1.3670352067918,0.783745123537061
"NFKBIA","high_variance",1.36458322384106,0.971131339401821
"CCN3","high_variance",1.35377483451315,0.650975292587776
"FCER1G","canonical_or_high_variance",1.34464016497541,0.626137841352406
"STAB1","high_variance",1.34382104722351,0.753185955786736
"COL4A2","high_variance",1.34082905202265,0.779193758127438
"GLUL","high_variance",1.33385347305278,0.925357607282185
"CCL4","high_variance",1.33358875686027,0.597529258777633
"DKK3","high_variance",1.33281717067372,0.704421326397919
"MAP1B","high_variance",1.32786017711647,0.736150845253576
"DEPP1","high_variance",1.31560025960646,0.798049414824447
"EPAS1","high_variance",1.31276224431615,0.88998699609883
"IGFBP5","high_variance",1.30532018739062,0.736150845253576
"TPM1","high_variance",1.3004208814993,0.891027308192458
"RGS1","high_variance",1.29589542457337,0.558387516254876
"COL6A3","high_variance",1.29448319323456,0.718465539661899
"COL6A1","canonical_or_high_variance",1.28169785831672,0.803381014304291
"PCOLCE","high_variance",1.27715885475086,0.659167750325098
"FCGR2A","high_variance",1.27311293684522,0.589336801040312
"DSTN","high_variance",1.272632822127,0.960858257477243
"PRSS23","high_variance",1.2666000283797,0.832379713914174
"MS4A6A","high_variance",1.26168160977079,0.581404421326398
"MYL9","canonical_or_high_variance",1.25766616436044,0.767100130039012
