"file","major_cell_type","n_cells","total_cells","fraction_of_cells","title_stub","file_stub.x","gsm","subject_status","tissue","group","file_stub.y"
"GSM8121894_athero_human_1.txt.gz","b_cell",16,721,0.0221914008321775,"athero_human_1","GSM8121894_athero_human_1","GSM8121894","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121894_athero_human_1"
"GSM8121894_athero_human_1.txt.gz","macrophage",220,721,0.305131761442441,"athero_human_1","GSM8121894_athero_human_1","GSM8121894","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121894_athero_human_1"
"GSM8121894_athero_human_1.txt.gz","endothelial",125,721,0.173370319001387,"athero_human_1","GSM8121894_athero_human_1","GSM8121894","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121894_athero_human_1"
"GSM8121894_athero_human_1.txt.gz","mast",10,721,0.013869625520111,"athero_human_1","GSM8121894_athero_human_1","GSM8121894","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121894_athero_human_1"
"GSM8121894_athero_human_1.txt.gz","fibroblast",195,721,0.270457697642164,"athero_human_1","GSM8121894_athero_human_1","GSM8121894","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121894_athero_human_1"
"GSM8121894_athero_human_1.txt.gz","t_nk",39,721,0.0540915395284327,"athero_human_1","GSM8121894_athero_human_1","GSM8121894","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121894_athero_human_1"
"GSM8121894_athero_human_1.txt.gz","unassigned",31,721,0.042995839112344,"athero_human_1","GSM8121894_athero_human_1","GSM8121894","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121894_athero_human_1"
"GSM8121894_athero_human_1.txt.gz","vsmc",85,721,0.117891816920943,"athero_human_1","GSM8121894_athero_human_1","GSM8121894","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121894_athero_human_1"
"GSM8121895_athero_human_2.txt.gz","endothelial",127,441,0.287981859410431,"athero_human_2","GSM8121895_athero_human_2","GSM8121895","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121895_athero_human_2"
"GSM8121895_athero_human_2.txt.gz","b_cell",5,441,0.0113378684807256,"athero_human_2","GSM8121895_athero_human_2","GSM8121895","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121895_athero_human_2"
"GSM8121895_athero_human_2.txt.gz","macrophage",10,441,0.0226757369614512,"athero_human_2","GSM8121895_athero_human_2","GSM8121895","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121895_athero_human_2"
"GSM8121895_athero_human_2.txt.gz","unassigned",42,441,0.0952380952380952,"athero_human_2","GSM8121895_athero_human_2","GSM8121895","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121895_athero_human_2"
"GSM8121895_athero_human_2.txt.gz","mast",6,441,0.0136054421768707,"athero_human_2","GSM8121895_athero_human_2","GSM8121895","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121895_athero_human_2"
"GSM8121895_athero_human_2.txt.gz","vsmc",137,441,0.310657596371882,"athero_human_2","GSM8121895_athero_human_2","GSM8121895","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121895_athero_human_2"
