"file","macrophage","vsmc","endothelial","fibroblast","t_nk","b_cell","mast","title_stub","file_stub.x","gsm","subject_status","tissue","group","file_stub.y"
"GSM8121894_athero_human_1.txt.gz",4.96748052231431e-18,-1.3139748381662e-17,1.83028664943236e-18,-4.02402914503635e-19,-3.01341663110287e-18,1.73568305504937e-17,5.01648390413937e-18,"athero_human_1","GSM8121894_athero_human_1","GSM8121894","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121894_athero_human_1"
"GSM8121895_athero_human_2.txt.gz",-1.18260396829896e-18,1.81420705020913e-17,-1.68677027104635e-17,-3.53816225971092e-18,-6.39189116668626e-19,1.09127038392745e-18,-2.32703959481143e-18,"athero_human_2","GSM8121895_athero_human_2","GSM8121895","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121895_athero_human_2"
"GSM8121896_athero_human_3.txt.gz",-8.72311881537613e-19,-6.56603339620363e-18,-8.37612582609737e-18,3.38541524682556e-18,3.67874143591838e-18,-5.02448625385452e-18,8.3434367683913e-18,"athero_human_3","GSM8121896_athero_human_3","GSM8121896","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121896_athero_human_3"
"GSM8121897_athero_human_4.txt.gz",7.13545429776791e-18,-7.13805430297771e-18,-9.32056367621187e-18,1.48111896781317e-17,-5.34119070248674e-18,-2.66721534447063e-18,2.49216999372103e-17,"athero_human_4","GSM8121897_athero_human_4","GSM8121897","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121897_athero_human_4"
"GSM8121898_athero_human_5.txt.gz",-6.53657224573155e-18,-3.96329374868104e-18,-2.07274659724163e-18,-4.81473278660267e-18,1.35637702839785e-18,7.40660802495255e-18,5.36072338736555e-18,"athero_human_5","GSM8121898_athero_human_5","GSM8121898","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121898_athero_human_5"
"GSM8121899_athero_human_6.txt.gz",-2.39301993448992e-19,7.76003666482155e-19,2.08305042095382e-17,-1.02174715989019e-17,-3.38651196505432e-18,1.67535152832416e-17,2.46450816538488e-18,"athero_human_6","GSM8121899_athero_human_6","GSM8121899","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121899_athero_human_6"
"GSM8121900_athero_human_7.txt.gz",8.97875774131337e-18,2.26303017457886e-17,6.2917086071005e-18,1.79869140415345e-17,-2.81646534353244e-18,1.27148767276149e-18,3.10584307337718e-18,"athero_human_7","GSM8121900_athero_human_7","GSM8121900","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121900_athero_human_7"
"GSM8121901_athero_human_8.txt.gz",4.39515847958851e-17,-2.69806174718864e-18,8.37989715497433e-18,-2.51101377153633e-17,1.44494580442159e-18,2.22606418778047e-17,5.90631453940711e-18,"athero_human_8","GSM8121901_athero_human_8","GSM8121901","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121901_athero_human_8"
"GSM8121902_athero_human_9.txt.gz",-4.00863696856912e-17,-1.20322010280859e-18,-1.00787222660285e-18,8.17532677728587e-18,2.06339702052333e-18,2.71387292882623e-18,1.72204583790633e-18,"athero_human_9","GSM8121902_athero_human_9","GSM8121902","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121902_athero_human_9"
"GSM8121903_athero_human_10.txt.gz",1.09434309349836e-18,-3.95445840879066e-18,-1.21791209398834e-18,-2.2675600170967e-17,-4.41054946125772e-18,-1.57321991910541e-17,-4.39533807973844e-19,"athero_human_10","GSM8121903_athero_human_10","GSM8121903","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121903_athero_human_10"
"GSM8121904_athero_human_11.txt.gz",-1.7909984167873e-17,1.60671710240905e-17,-8.4630353481712e-18,-2.27049564222082e-17,-2.34134781346016e-18,-1.15552482576514e-17,-1.16388662483728e-17,"athero_human_11","GSM8121904_athero_human_11","GSM8121904","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121904_athero_human_11"
"GSM8121905_athero_human_12.txt.gz",-4.58152311646224e-18,-2.07747746064731e-18,8.64898734382912e-18,2.54203117873747e-17,1.11065362974331e-17,1.13667255953868e-17,2.01197357939298e-19,"athero_human_12","GSM8121905_athero_human_12","GSM8121905","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121905_athero_human_12"
"GSM8121906_athero_human_13.txt.gz",1.32682413690358e-17,2.51578417147305e-17,-5.81534860910912e-18,7.53695771098173e-18,-1.31749034374434e-19,4.28991120466617e-18,-1.9660985048152e-18,"athero_human_13","GSM8121906_athero_human_13","GSM8121906","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121906_athero_human_13"
"GSM8121907_athero_human_14.txt.gz",5.91899229672189e-18,2.06503631499604e-17,9.45771545295723e-18,5.46499133566313e-18,2.48095624050676e-18,-3.98343393821664e-18,8.94213661016689e-18,"athero_human_14","GSM8121907_athero_human_14","GSM8121907","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121907_athero_human_14"
"GSM8121908_athero_human_15.txt.gz",-4.13786537264623e-17,8.71900861916273e-18,5.0818734603881e-19,4.62377858912471e-18,-4.73560314931916e-18,2.7198949332817e-17,-5.61295095994888e-19,"athero_human_15","GSM8121908_athero_human_15","GSM8121908","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121908_athero_human_15"
