"file","macrophage_score","vsmc_score","efferocytosis_score","contractile_vsmc_score","noncontractile_vsmc_score","gsm","group","subject_status"
"GSM8121894_athero_human_1.txt.gz",3.4691462023912e-18,-1.86366985085979e-17,-1.46374812024603e-18,-1.38777878078145e-17,-3.71124960013069e-19,"GSM8121894","asymptomatic","Asymptomatic patient"
"GSM8121895_athero_human_2.txt.gz",1.79569448250207e-18,8.86538102943929e-18,3.46452993529835e-18,2.26207351225377e-17,-2.342104104589e-17,"GSM8121895","asymptomatic","Asymptomatic patient"
"GSM8121896_athero_human_3.txt.gz",1.67097528587966e-19,-1.23876738642937e-17,9.47487659120921e-18,-1.60544021469646e-17,3.8283927268756e-18,"GSM8121896","asymptomatic","Asymptomatic patient"
"GSM8121897_athero_human_4.txt.gz",1.05997012393019e-17,-2.40698082302202e-17,1.10712446841638e-17,-2.42346485605213e-17,-3.14967231120064e-17,"GSM8121897","symptomatic","Symptomatic patient"
"GSM8121898_athero_human_5.txt.gz",2.29250416762882e-18,-3.30803209936833e-18,8.80221445370575e-18,-1.06008718246071e-17,-2.64253616497454e-17,"GSM8121898","asymptomatic","Asymptomatic patient"
"GSM8121899_athero_human_6.txt.gz",-9.12975980783013e-18,-8.49111721339992e-18,-1.1079595906077e-18,-6.99915135532624e-18,-8.73565663766221e-18,"GSM8121899","symptomatic","Symptomatic patient"
"GSM8121900_athero_human_7.txt.gz",1.26584773646038e-17,3.21586040382597e-17,-4.19623770827092e-18,3.36611414489903e-17,9.48526780624011e-18,"GSM8121900","symptomatic","Symptomatic patient"
"GSM8121901_athero_human_8.txt.gz",7.27763315993355e-17,-1.15073276034257e-19,1.9123724660344e-17,-3.32813105515351e-18,-2.37470306942455e-18,"GSM8121901","symptomatic","Symptomatic patient"
"GSM8121902_athero_human_9.txt.gz",-3.28279080993476e-17,4.17054674899692e-18,-1.2031161065588e-17,2.13885620415571e-18,1.8649548432026e-17,"GSM8121902","asymptomatic","Asymptomatic patient"
"GSM8121903_athero_human_10.txt.gz",-1.19732978022891e-17,-1.83953803242079e-17,-7.88976174455704e-18,-1.85419854909493e-17,-1.74072039099552e-17,"GSM8121903","symptomatic","Symptomatic patient"
"GSM8121904_athero_human_11.txt.gz",-1.8162149319494e-17,3.5304619717743e-17,6.06862333082191e-18,3.2801611190109e-17,2.14151965695409e-18,"GSM8121904","symptomatic","Symptomatic patient"
"GSM8121905_athero_human_12.txt.gz",-9.01291114485512e-18,-4.88333116802292e-18,9.34023831669904e-18,-3.34026541650853e-18,2.58930162452012e-18,"GSM8121905","symptomatic","Symptomatic patient"
"GSM8121906_athero_human_13.txt.gz",1.05183928155095e-17,2.06235317594773e-17,-7.46996562022364e-18,1.65990506518879e-17,4.56800241406929e-18,"GSM8121906","asymptomatic","Asymptomatic patient"
"GSM8121907_athero_human_14.txt.gz",-3.02880714732087e-18,2.19212039762717e-17,4.31681479798552e-18,1.88884998249933e-17,-1.50665295035963e-17,"GSM8121907","asymptomatic","Asymptomatic patient"
"GSM8121908_athero_human_15.txt.gz",-8.56291463174604e-17,1.23741705843938e-17,2.04182763201098e-18,1.36168530265895e-17,-9.49091906541079e-18,"GSM8121908","symptomatic","Symptomatic patient"
