"gene","major_cell_type","gene_present","median_cells_per_sample_file","mean_log1p_cpm","fraction_expressing","display_panel"
"IL6","macrophage",TRUE,170,0.057854913338091,0.178571428571429,"Inflammatory VSMC-associated genes"
"IL6","vsmc",TRUE,85,0.0225083011763194,0.0802919708029197,"Inflammatory VSMC-associated genes"
"IL6","endothelial",TRUE,23,0.0536442155800566,0.149606299212598,"Inflammatory VSMC-associated genes"
"IL6","fibroblast",TRUE,112,0.0474184756591042,0.148571428571429,"Inflammatory VSMC-associated genes"
"IL6","t_nk",TRUE,9,0.0195487436404616,0.1,"Inflammatory VSMC-associated genes"
"IL6","b_cell",TRUE,13,0.00449513938861622,0.0625,"Inflammatory VSMC-associated genes"
"IL6","mast",TRUE,11,0.0141264749069448,0.125,"Inflammatory VSMC-associated genes"
"IL6","unassigned",TRUE,42,0.0317063377176635,0.0689655172413793,"Inflammatory VSMC-associated genes"
"CCL2","macrophage",TRUE,170,1.08687801694958,0.948837209302326,"Inflammatory VSMC-associated genes"
"CCL2","vsmc",TRUE,85,0.819659137621607,0.947368421052632,"Inflammatory VSMC-associated genes"
"CCL2","endothelial",TRUE,23,0.634142050864589,0.974522292993631,"Inflammatory VSMC-associated genes"
"CCL2","fibroblast",TRUE,112,1.15786863323661,0.958974358974359,"Inflammatory VSMC-associated genes"
"CCL2","t_nk",TRUE,9,1.01352070576986,0.983050847457627,"Inflammatory VSMC-associated genes"
"CCL2","b_cell",TRUE,13,1.12410841070106,0.928571428571429,"Inflammatory VSMC-associated genes"
"CCL2","mast",TRUE,11,0.861346422240605,0.909090909090909,"Inflammatory VSMC-associated genes"
"CCL2","unassigned",TRUE,42,1.02934969892709,0.95,"Inflammatory VSMC-associated genes"
"CCL5","macrophage",TRUE,170,0.214389170552799,0.619047619047619,"Inflammatory VSMC-associated genes"
"CCL5","vsmc",TRUE,85,0.0305465195441126,0.226277372262774,"Inflammatory VSMC-associated genes"
"CCL5","endothelial",TRUE,23,0.0371421350233985,0.304347826086957,"Inflammatory VSMC-associated genes"
