"gene","dominant_cell_type_by_mean","vsmc_mean_log1p_cpm","vsmc_fraction_expressing","vsmc_mean_rank","max_mean_log1p_cpm","max_fraction_expressing"
"IL6","macrophage",0.0225083011763194,0.0802919708029197,5,0.057854913338091,0.178571428571429
"CCL2","fibroblast",0.819659137621607,0.947368421052632,7,1.15786863323661,0.983050847457627
"CCL5","t_nk",0.0305465195441126,0.226277372262774,8,0.823549140999698,0.818181818181818
"CXCL8","macrophage",0.0370014113375328,0.193548387096774,7,0.893392904052562,0.896907216494845
"CXCL12","fibroblast",1.43994772493553,0.984126984126984,2,1.99164089562435,0.994871794871795
"ICAM1","macrophage",0.171397026775609,0.552941176470588,8,0.909750705665862,0.944444444444444
"VCAM1","fibroblast",0.579929655642835,0.753968253968254,2,1.16308968693425,0.907692307692308
"NFKB1","mast",0.144075956109308,0.348387096774194,8,0.348919130001616,0.658823529411765
"RELA","endothelial",0.531807067303541,0.741071428571429,2,0.562631858461922,0.777777777777778
"STAT3","vsmc",1.09065916015289,0.963235294117647,1,1.09065916015289,1
"TNF","t_nk",0.0126958010496437,0.0451612903225806,7,0.508488257136144,0.685714285714286
"IL1B","macrophage",0.0224196731806127,0.166666666666667,7,0.904091259516954,0.855670103092783
