"file","group","major_cell_type","inflammatory_vsmc_associated_score","n_cells"
"GSM8121894_athero_human_1.txt.gz","asymptomatic","b_cell",-0.194721752017354,16
"GSM8121895_athero_human_2.txt.gz","asymptomatic","b_cell",0.0805704954315793,5
"GSM8121896_athero_human_3.txt.gz","asymptomatic","b_cell",-0.0193692024703023,14
"GSM8121898_athero_human_5.txt.gz","asymptomatic","b_cell",0.128385320329592,7
"GSM8121902_athero_human_9.txt.gz","asymptomatic","b_cell",-0.0759777380354664,32
"GSM8121906_athero_human_13.txt.gz","asymptomatic","b_cell",-0.166483259696911,24
"GSM8121907_athero_human_14.txt.gz","asymptomatic","b_cell",-0.201877430072988,23
"GSM8121897_athero_human_4.txt.gz","symptomatic","b_cell",-0.289358274504033,6
"GSM8121899_athero_human_6.txt.gz","symptomatic","b_cell",-0.0219884323416151,16
"GSM8121900_athero_human_7.txt.gz","symptomatic","b_cell",-0.185831325369405,12
"GSM8121901_athero_human_8.txt.gz","symptomatic","b_cell",-0.0403647156408197,9
"GSM8121903_athero_human_10.txt.gz","symptomatic","b_cell",0.279337167446441,14
"GSM8121904_athero_human_11.txt.gz","symptomatic","b_cell",0.154302062854414,4
"GSM8121905_athero_human_12.txt.gz","symptomatic","b_cell",0.160167017506697,13
"GSM8121908_athero_human_15.txt.gz","symptomatic","b_cell",0.130307931941502,12
"GSM8121894_athero_human_1.txt.gz","asymptomatic","endothelial",-0.0533573260318301,125
"GSM8121895_athero_human_2.txt.gz","asymptomatic","endothelial",-0.0878284578638946,127
"GSM8121896_athero_human_3.txt.gz","asymptomatic","endothelial",-0.215846458079153,59
"GSM8121898_athero_human_5.txt.gz","asymptomatic","endothelial",-0.0998236566284275,90
"GSM8121902_athero_human_9.txt.gz","asymptomatic","endothelial",-0.165317545422583,17
"GSM8121906_athero_human_13.txt.gz","asymptomatic","endothelial",-0.153513548923249,23
"GSM8121907_athero_human_14.txt.gz","asymptomatic","endothelial",-0.00225828145768382,157
"GSM8121897_athero_human_4.txt.gz","symptomatic","endothelial",-0.127825111059585,18
"GSM8121899_athero_human_6.txt.gz","symptomatic","endothelial",-0.00848894820047571,64
"GSM8121900_athero_human_7.txt.gz","symptomatic","endothelial",0.0191069212156013,14
"GSM8121901_athero_human_8.txt.gz","symptomatic","endothelial",0.156773049660958,6
"GSM8121903_athero_human_10.txt.gz","symptomatic","endothelial",-0.243742046703913,11
"GSM8121904_athero_human_11.txt.gz","symptomatic","endothelial",-0.318885012067651,8
"GSM8121905_athero_human_12.txt.gz","symptomatic","endothelial",-0.287324758195643,6
"GSM8121908_athero_human_15.txt.gz","symptomatic","endothelial",-0.217793190711611,31
"GSM8121894_athero_human_1.txt.gz","asymptomatic","fibroblast",-0.0419974194126099,195
"GSM8121895_athero_human_2.txt.gz","asymptomatic","fibroblast",-2.52728584635936e-05,112
"GSM8121896_athero_human_3.txt.gz","asymptomatic","fibroblast",0.0703488062763872,101
"GSM8121898_athero_human_5.txt.gz","asymptomatic","fibroblast",0.07308666101253,41
"GSM8121902_athero_human_9.txt.gz","asymptomatic","fibroblast",0.250590040306324,65
"GSM8121906_athero_human_13.txt.gz","asymptomatic","fibroblast",0.0147369773540917,204
"GSM8121907_athero_human_14.txt.gz","asymptomatic","fibroblast",0.00611601978251213,120
"GSM8121897_athero_human_4.txt.gz","symptomatic","fibroblast",-0.0461676096232083,146
"GSM8121899_athero_human_6.txt.gz","symptomatic","fibroblast",-0.0866445439236408,30
"GSM8121900_athero_human_7.txt.gz","symptomatic","fibroblast",0.0573670579066518,166
"GSM8121901_athero_human_8.txt.gz","symptomatic","fibroblast",0.221188594698388,31
"GSM8121903_athero_human_10.txt.gz","symptomatic","fibroblast",0.107604809125198,80
"GSM8121904_athero_human_11.txt.gz","symptomatic","fibroblast",-0.0552774097486266,165
"GSM8121905_athero_human_12.txt.gz","symptomatic","fibroblast",-0.0604839718292994,175
"GSM8121908_athero_human_15.txt.gz","symptomatic","fibroblast",-0.0327113690073044,14
"GSM8121894_athero_human_1.txt.gz","asymptomatic","macrophage",-0.0456679395889363,220
"GSM8121895_athero_human_2.txt.gz","asymptomatic","macrophage",0.728375758722127,10
"GSM8121896_athero_human_3.txt.gz","asymptomatic","macrophage",-0.0625217100831803,170
"GSM8121898_athero_human_5.txt.gz","asymptomatic","macrophage",0.175684517269152,7
"GSM8121902_athero_human_9.txt.gz","asymptomatic","macrophage",-0.162235448119377,391
"GSM8121906_athero_human_13.txt.gz","asymptomatic","macrophage",0.156664283945813,215
"GSM8121907_athero_human_14.txt.gz","asymptomatic","macrophage",-0.105475132592357,210
"GSM8121897_athero_human_4.txt.gz","symptomatic","macrophage",0.164271253520434,53
"GSM8121899_athero_human_6.txt.gz","symptomatic","macrophage",-0.24691669036631,5
"GSM8121900_athero_human_7.txt.gz","symptomatic","macrophage",-0.115994903477495,193
"GSM8121901_athero_human_8.txt.gz","symptomatic","macrophage",-0.192882578830406,97
"GSM8121903_athero_human_10.txt.gz","symptomatic","macrophage",-0.0182165306844389,144
"GSM8121904_athero_human_11.txt.gz","symptomatic","macrophage",0.0436601697851771,256
"GSM8121905_athero_human_12.txt.gz","symptomatic","macrophage",-0.00535736527521902,216
"GSM8121908_athero_human_15.txt.gz","symptomatic","macrophage",-0.0546147064672827,84
"GSM8121894_athero_human_1.txt.gz","asymptomatic","mast",-0.171662313445938,10
"GSM8121895_athero_human_2.txt.gz","asymptomatic","mast",-0.0316581346346094,6
"GSM8121896_athero_human_3.txt.gz","asymptomatic","mast",-0.420398699749745,5
"GSM8121898_athero_human_5.txt.gz","asymptomatic","mast",-0.222018042064554,11
"GSM8121902_athero_human_9.txt.gz","asymptomatic","mast",-0.134001557877493,27
"GSM8121906_athero_human_13.txt.gz","asymptomatic","mast",-0.0136469637114677,12
"GSM8121907_athero_human_14.txt.gz","asymptomatic","mast",-0.194794597565325,8
"GSM8121897_athero_human_4.txt.gz","symptomatic","mast",0.0751538672919103,16
"GSM8121899_athero_human_6.txt.gz","symptomatic","mast",-0.135349567648469,18
"GSM8121900_athero_human_7.txt.gz","symptomatic","mast",-0.0960663004732525,10
"GSM8121901_athero_human_8.txt.gz","symptomatic","mast",0.0496858958083695,20
"GSM8121903_athero_human_10.txt.gz","symptomatic","mast",0.121190111866836,7
"GSM8121904_athero_human_11.txt.gz","symptomatic","mast",-0.00354870633198448,30
"GSM8121905_athero_human_12.txt.gz","symptomatic","mast",-0.117580165916002,25
"GSM8121908_athero_human_15.txt.gz","symptomatic","mast",-0.0420271416655552,11
"GSM8121894_athero_human_1.txt.gz","asymptomatic","t_nk",-0.0906118107386306,39
"GSM8121895_athero_human_2.txt.gz","asymptomatic","t_nk",1.81384656632052,2
"GSM8121896_athero_human_3.txt.gz","asymptomatic","t_nk",0.144157523779478,6
"GSM8121898_athero_human_5.txt.gz","asymptomatic","t_nk",0.0102075833758132,4
"GSM8121902_athero_human_9.txt.gz","asymptomatic","t_nk",0.300010763215485,59
"GSM8121906_athero_human_13.txt.gz","asymptomatic","t_nk",0.10901528750699,20
"GSM8121907_athero_human_14.txt.gz","asymptomatic","t_nk",-0.106809581051646,70
"GSM8121897_athero_human_4.txt.gz","symptomatic","t_nk",-0.302620875071758,6
"GSM8121899_athero_human_6.txt.gz","symptomatic","t_nk",-0.017706880551854,10
"GSM8121900_athero_human_7.txt.gz","symptomatic","t_nk",-0.0944246588906172,73
"GSM8121901_athero_human_8.txt.gz","symptomatic","t_nk",0.0583588211965082,8
"GSM8121903_athero_human_10.txt.gz","symptomatic","t_nk",0.616378113752274,7
"GSM8121904_athero_human_11.txt.gz","symptomatic","t_nk",0.182688684615748,8
"GSM8121905_athero_human_12.txt.gz","symptomatic","t_nk",0.119236768552464,9
"GSM8121908_athero_human_15.txt.gz","symptomatic","t_nk",0.0200919779934101,11
"GSM8121894_athero_human_1.txt.gz","asymptomatic","unassigned",-0.0885302066827939,31
"GSM8121895_athero_human_2.txt.gz","asymptomatic","unassigned",0.0697734913017471,42
"GSM8121896_athero_human_3.txt.gz","asymptomatic","unassigned",-0.00185469283824246,33
"GSM8121898_athero_human_5.txt.gz","asymptomatic","unassigned",-0.142563899867695,22
"GSM8121902_athero_human_9.txt.gz","asymptomatic","unassigned",0.0583681027966282,154
"GSM8121906_athero_human_13.txt.gz","asymptomatic","unassigned",-0.122590544646944,53
"GSM8121907_athero_human_14.txt.gz","asymptomatic","unassigned",0.0253625771817356,36
"GSM8121897_athero_human_4.txt.gz","symptomatic","unassigned",-0.0680818596130058,60
"GSM8121899_athero_human_6.txt.gz","symptomatic","unassigned",-0.084229959535655,87
"GSM8121900_athero_human_7.txt.gz","symptomatic","unassigned",-0.0596980963109794,46
"GSM8121901_athero_human_8.txt.gz","symptomatic","unassigned",0.0295500341079684,34
"GSM8121903_athero_human_10.txt.gz","symptomatic","unassigned",-0.0423503697683425,44
"GSM8121904_athero_human_11.txt.gz","symptomatic","unassigned",0.0440164950069156,29
"GSM8121905_athero_human_12.txt.gz","symptomatic","unassigned",-0.0702938631631525,39
"GSM8121908_athero_human_15.txt.gz","symptomatic","unassigned",0.0690875227328065,42
"GSM8121894_athero_human_1.txt.gz","asymptomatic","vsmc",-0.131865630370358,85
"GSM8121895_athero_human_2.txt.gz","asymptomatic","vsmc",-0.1226550302872,137
"GSM8121896_athero_human_3.txt.gz","asymptomatic","vsmc",-0.241540666021048,61
