"gene","major_cell_type","gene_present","median_cells_per_sample_file","mean_log1p_cpm","fraction_expressing","display_panel"
"ACTA2","macrophage",TRUE,170,0.36416416868833,0.81640625,"VSMC markers"
"ACTA2","vsmc",TRUE,85,3.71752217886813,1,"VSMC markers"
"ACTA2","endothelial",TRUE,23,0.418186329829897,0.875,"VSMC markers"
"ACTA2","fibroblast",TRUE,112,2.36318455523332,1,"VSMC markers"
"ACTA2","t_nk",TRUE,9,0.644831678849747,0.875,"VSMC markers"
"ACTA2","b_cell",TRUE,13,0.954519834797699,0.888888888888889,"VSMC markers"
"ACTA2","mast",TRUE,11,0.604060581976071,0.8,"VSMC markers"
"ACTA2","unassigned",TRUE,42,1.52005049388815,0.952380952380952,"VSMC markers"
"TAGLN","macrophage",TRUE,170,0.37092606462037,0.765625,"VSMC markers"
"TAGLN","vsmc",TRUE,85,3.57395850372505,1,"VSMC markers"
"TAGLN","endothelial",TRUE,23,0.987580533477246,0.928571428571429,"VSMC markers"
"TAGLN","fibroblast",TRUE,112,2.80467446423171,1,"VSMC markers"
"TAGLN","t_nk",TRUE,9,0.779626533472215,0.875,"VSMC markers"
"TAGLN","b_cell",TRUE,13,0.96500148970258,0.888888888888889,"VSMC markers"
"TAGLN","mast",TRUE,11,0.489044662058226,0.88,"VSMC markers"
"TAGLN","unassigned",TRUE,42,1.61982449653213,0.96551724137931,"VSMC markers"
"MYH11","macrophage",TRUE,170,0.147495889083305,0.642857142857143,"VSMC markers"
"MYH11","vsmc",TRUE,85,2.82431536301761,1,"VSMC markers"
"MYH11","endothelial",TRUE,23,0.131820653707985,0.688,"VSMC markers"
"MYH11","fibroblast",TRUE,112,0.750680307793631,0.971428571428571,"VSMC markers"
"MYH11","t_nk",TRUE,9,0.232388293600549,0.698630136986301,"VSMC markers"
"MYH11","b_cell",TRUE,13,0.291294094513928,0.785714285714286,"VSMC markers"
"MYH11","mast",TRUE,11,0.386414912815817,0.666666666666667,"VSMC markers"
"MYH11","unassigned",TRUE,42,0.96857767509902,0.861111111111111,"VSMC markers"
"CNN1","macrophage",TRUE,170,0.0192520179785377,0.238095238095238,"VSMC markers"
"CNN1","vsmc",TRUE,85,1.34145561977957,0.885245901639344,"VSMC markers"
"CNN1","endothelial",TRUE,23,0.036207635860967,0.222929936305732,"VSMC markers"
"CNN1","fibroblast",TRUE,112,0.2675154954004,0.691428571428571,"VSMC markers"
"CNN1","t_nk",TRUE,9,0.0256542308583591,0.288135593220339,"VSMC markers"
"CNN1","b_cell",TRUE,13,0.0508449792948955,0.375,"VSMC markers"
"CNN1","mast",TRUE,11,0.0271518897360287,0.3,"VSMC markers"
