"gene","logFC","SE","statistic","P_value","FDR","mean_expression","logCPM","F","PValue"
"7SK",-0.120804894389887,,0.232293142107111,0.637900863799987,0.969632365786535,1.0891528247897,1.0891528247897,0.232293142107111,0.637900863799987
"A1BG",-0.031309284973317,,0.0956797266115622,0.762012414648228,0.978767600780637,2.58733544225591,2.58733544225591,0.0956797266115622,0.762012414648228
"A1BG-AS1",0.211364020740338,,1.47674332941063,0.246040885968296,0.950898411535146,2.43953535895317,2.43953535895317,1.47674332941063,0.246040885968296
"A1CF",-0.00937473385862672,,0.000731768723288508,0.978834778907886,0.998354123727211,-0.197837300473767,-0.197837300473767,0.000731768723288508,0.978834778907886
"A2M",-0.186638581066483,,1.44581038659671,0.250788432361106,0.950898411535146,11.1836666892386,11.1836666892386,1.44581038659671,0.250788432361106
"A2M-AS1",-0.113845201851044,,0.119628202009614,0.735008798536727,0.977264589146908,2.9650918687353,2.9650918687353,0.119628202009614,0.735008798536727
"A2ML1",-0.0339881260260911,,0.0442942901061256,0.836593730354562,0.988293193533357,1.22040504755652,1.22040504755652,0.0442942901061256,0.836593730354562
"A2MP1",0.326076281637465,,0.210333919748187,0.654155068811912,0.972027986097391,0.147744534120125,0.147744534120125,0.210333919748187,0.654155068811912
"A4GALT",0.160502258051238,,0.272707154179737,0.610365137032469,0.967292051543133,2.46016517415373,2.46016517415373,0.272707154179737,0.610365137032469
"AAAS",-0.0758665598497364,,0.39455561078141,0.540865812468904,0.959410744773735,4.36321904445734,4.36321904445734,0.39455561078141,0.540865812468904
"AACS",0.0204072099989359,,0.0319525650139784,0.860906044107595,0.990141064848319,4.83025975958449,4.83025975958449,0.0319525650139784,0.860906044107595
"AADAT",-0.207384784016012,,0.280347819294542,0.605460610565967,0.966039048427609,1.61146246497283,1.61146246497283,0.280347819294542,0.605460610565967
"AAED1",-0.082120995439121,,0.321124153365637,0.580650183992215,0.963233091548472,4.68310339049395,4.68310339049395,0.321124153365637,0.580650183992215
"AAGAB",-0.140096502609549,,1.40443674803981,0.2573357102598,0.950898411535146,4.55389492107255,4.55389492107255,1.40443674803981,0.2573357102598
"AAK1",0.0262235747541755,,0.051557257772229,0.823930777565487,0.987294825345984,6.39466340730657,6.39466340730657,0.051557257772229,0.823930777565487
"AAMDC",-0.207573448217472,,0.920441780358344,0.354981287038146,0.950898411535146,3.31055012960406,3.31055012960406,0.920441780358344,0.354981287038146
