"sample","library_size","norm_factor","group"
"Asymp1",18017393,1.01125896253974,"asymptomatic"
"Asymp2",21186566,1.1047685485829,"asymptomatic"
"Symp1",18345135,1.03633506919717,"symptomatic"
"Symp2",22007319,0.983184781997372,"symptomatic"
"Symp3",21290161,1.05105880318329,"symptomatic"
"Symp4",28071896,0.948123545734525,"symptomatic"
"Asymp3",19120656,1.04766553481703,"asymptomatic"
"Symp5",16749305,0.99385694038282,"symptomatic"
"Symp6",21466729,1.03429109459838,"symptomatic"
"Asymp4",18345046,0.841437054651445,"asymptomatic"
"Asymp5",18692567,0.894822049646591,"asymptomatic"
"Asymp6",16611281,1.08715482592307,"asymptomatic"
