"cohort","dropped_gene","n_genes_used","n_samples","rho","P_value","FDR"
"GSE111782","IL6",11,18,0.82249742002064,2.79261706661062e-05,0.000229011097015048
"GSE311535","IL6",11,12,0.881118881118881,0.000152674064676699,0.000229011097015048
"GSE111782","CCL2",11,18,0.791537667698658,9.10340755405877e-05,0.000229011097015048
"GSE311535","CCL2",11,12,0.846153846153846,0.000521133700481004,0.00059558137197829
"GSE111782","CCL5",11,18,0.785345717234262,0.000112654310292568,0.000229011097015048
"GSE311535","CCL5",11,12,0.86013986013986,0.000331668339126922,0.000442224452169229
"GSE111782","CXCL8",11,18,0.79360165118679,8.46599736041267e-05,0.000229011097015048
"GSE311535","CXCL8",11,12,0.881118881118881,0.000152674064676699,0.000229011097015048
"GSE111782","CXCL12",11,18,0.79360165118679,8.46599736041267e-05,0.000229011097015048
"GSE311535","CXCL12",11,12,0.867132867132867,0.000259811849861481,0.000366793199804444
"GSE111782","ICAM1",11,18,0.791537667698658,9.10340755405877e-05,0.000229011097015048
"GSE311535","ICAM1",11,12,0.881118881118881,0.000152674064676699,0.000229011097015048
"GSE111782","VCAM1",11,18,0.789473684210526,9.78107277406047e-05,0.000229011097015048
"GSE311535","VCAM1",11,12,0.818181818181818,0.00114310508680406,0.00124702373105898
"GSE111782","NFKB1",11,18,0.78328173374613,0.000120764516115407,0.000229011097015048
"GSE311535","NFKB1",11,12,0.811188811188811,0.00136331525272719,0.00142258982893272
"GSE111782","RELA",11,18,0.801857585139319,6.28059996639089e-05,0.000229011097015048
"GSE311535","RELA",11,12,0.846153846153846,0.000521133700481004,0.00059558137197829
"GSE111782","STAT3",11,18,0.795665634674923,7.86687183973283e-05,0.000229011097015048
"GSE311535","STAT3",11,12,0.748251748251748,0.00512408169875307,0.00512408169875307
"GSE111782","TNF",11,18,0.777089783281734,0.000148125545886884,0.000229011097015048
"GSE311535","TNF",11,12,0.846153846153846,0.000521133700481004,0.00059558137197829
"GSE111782","IL1B",11,18,0.79360165118679,8.46599736041267e-05,0.000229011097015048
"GSE311535","IL1B",11,12,0.881118881118881,0.000152674064676699,0.000229011097015048
