"proxy","gene","purpose"
"macrophage_marker","LYZ","Exploratory cell-type marker-score proxy"
"macrophage_marker","LST1","Exploratory cell-type marker-score proxy"
"macrophage_marker","TYROBP","Exploratory cell-type marker-score proxy"
"macrophage_marker","FCER1G","Exploratory cell-type marker-score proxy"
"macrophage_marker","C1QA","Exploratory cell-type marker-score proxy"
"macrophage_marker","C1QB","Exploratory cell-type marker-score proxy"
"macrophage_marker","C1QC","Exploratory cell-type marker-score proxy"
"macrophage_marker","CD68","Exploratory cell-type marker-score proxy"
"macrophage_marker","CSF1R","Exploratory cell-type marker-score proxy"
"macrophage_marker","AIF1","Exploratory cell-type marker-score proxy"
"macrophage_marker","APOE","Exploratory cell-type marker-score proxy"
"macrophage_marker","TREM2","Exploratory cell-type marker-score proxy"
"macrophage_marker","MSR1","Exploratory cell-type marker-score proxy"
"macrophage_marker","FCGR1A","Exploratory cell-type marker-score proxy"
"vsmc_marker","ACTA2","Exploratory cell-type marker-score proxy"
"vsmc_marker","TAGLN","Exploratory cell-type marker-score proxy"
"vsmc_marker","MYH11","Exploratory cell-type marker-score proxy"
"vsmc_marker","CNN1","Exploratory cell-type marker-score proxy"
"vsmc_marker","CALD1","Exploratory cell-type marker-score proxy"
"vsmc_marker","MYL9","Exploratory cell-type marker-score proxy"
"vsmc_marker","TPM2","Exploratory cell-type marker-score proxy"
"vsmc_marker","DES","Exploratory cell-type marker-score proxy"
"vsmc_marker","SMTN","Exploratory cell-type marker-score proxy"
"vsmc_marker","MYLK","Exploratory cell-type marker-score proxy"
"endothelial_marker","PECAM1","Exploratory cell-type marker-score proxy"
"endothelial_marker","VWF","Exploratory cell-type marker-score proxy"
"endothelial_marker","KDR","Exploratory cell-type marker-score proxy"
"endothelial_marker","EMCN","Exploratory cell-type marker-score proxy"
"endothelial_marker","CLDN5","Exploratory cell-type marker-score proxy"
"endothelial_marker","ESAM","Exploratory cell-type marker-score proxy"
"endothelial_marker","CDH5","Exploratory cell-type marker-score proxy"
"fibroblast_marker","COL1A1","Exploratory cell-type marker-score proxy"
"fibroblast_marker","COL1A2","Exploratory cell-type marker-score proxy"
"fibroblast_marker","COL3A1","Exploratory cell-type marker-score proxy"
"fibroblast_marker","COL5A1","Exploratory cell-type marker-score proxy"
"fibroblast_marker","DCN","Exploratory cell-type marker-score proxy"
"fibroblast_marker","LUM","Exploratory cell-type marker-score proxy"
"fibroblast_marker","COL6A1","Exploratory cell-type marker-score proxy"
"fibroblast_marker","SPARC","Exploratory cell-type marker-score proxy"
"broad_inflammation_marker_nonoverlap","PTPRC","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","CD14","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","ITGAM","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","ITGAX","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","HLA-DRA","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","HLA-DRB1","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","HLA-DPA1","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","HLA-DPB1","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","NLRP3","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","CXCL10","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","CCL3","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","CCL4","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","CXCL2","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","IRF1","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","IRF7","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","JUN","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","FOS","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
"broad_inflammation_marker_nonoverlap","PTGS2","Exploratory broad inflammation proxy excluding the primary inflammatory VSMC-associated genes"
