"proxy","signature","proxy_genes","signature_genes","overlap_count","jaccard","overlap_genes"
"macrophage_marker","contractile_vsmc",14,12,0,0,""
"macrophage_marker","ecm_remodeling_vsmc",14,12,0,0,""
"macrophage_marker","efferocytosis",14,30,4,0.1,"APOE;TREM2;MSR1;FCGR1A"
"macrophage_marker","inflammatory_vsmc",14,12,0,0,""
"macrophage_marker","synthetic_vsmc",14,12,0,0,""
"vsmc_marker","contractile_vsmc",10,12,9,0.692307692307692,"ACTA2;TAGLN;MYH11;CNN1;CALD1;MYL9;TPM2;DES;MYLK"
"vsmc_marker","ecm_remodeling_vsmc",10,12,0,0,""
"vsmc_marker","efferocytosis",10,30,0,0,""
"vsmc_marker","inflammatory_vsmc",10,12,0,0,""
"vsmc_marker","synthetic_vsmc",10,12,0,0,""
"endothelial_marker","contractile_vsmc",7,12,0,0,""
"endothelial_marker","ecm_remodeling_vsmc",7,12,0,0,""
"endothelial_marker","efferocytosis",7,30,0,0,""
"endothelial_marker","inflammatory_vsmc",7,12,0,0,""
"endothelial_marker","synthetic_vsmc",7,12,0,0,""
"fibroblast_marker","contractile_vsmc",8,12,0,0,""
"fibroblast_marker","ecm_remodeling_vsmc",8,12,2,0.111111111111111,"COL1A1;SPARC"
"fibroblast_marker","efferocytosis",8,30,0,0,""
"fibroblast_marker","inflammatory_vsmc",8,12,0,0,""
"fibroblast_marker","synthetic_vsmc",8,12,6,0.428571428571429,"COL1A1;COL3A1;COL5A1;DCN;LUM;SPARC"
"broad_inflammation_marker_nonoverlap","contractile_vsmc",18,12,0,0,""
"broad_inflammation_marker_nonoverlap","ecm_remodeling_vsmc",18,12,0,0,""
"broad_inflammation_marker_nonoverlap","efferocytosis",18,30,0,0,""
"broad_inflammation_marker_nonoverlap","inflammatory_vsmc",18,12,0,0,""
"broad_inflammation_marker_nonoverlap","synthetic_vsmc",18,12,0,0,""
