"cohort","variable_1","variable_2","rho","P_value","n_samples","FDR"
"GSE111782","efferocytosis","inflammatory_vsmc",0.799793601651187,6.77596194348165e-05,18,0.000474317336043715
"GSE111782","efferocytosis","macrophage_marker",0.884416924664603,1.10792099907769e-06,18,2.32663409806314e-05
"GSE111782","efferocytosis","vsmc_marker",0.382868937048504,0.116832323012767,18,0.175248484519151
"GSE111782","efferocytosis","endothelial_marker",0.512899896800826,0.0295065537220994,18,0.0619637628164087
"GSE111782","efferocytosis","fibroblast_marker",0.680082559339525,0.0018996026438905,18,0.00569880793167151
"GSE111782","efferocytosis","broad_inflammation_marker_nonoverlap",0.826625386996904,2.34565530982154e-05,18,0.000246293807531261
"GSE111782","inflammatory_vsmc","macrophage_marker",0.86171310629515,4.31768400676091e-06,18,6.04475760946527e-05
"GSE111782","inflammatory_vsmc","vsmc_marker",0.366357069143447,0.134837479069809,18,0.188772470697732
"GSE111782","inflammatory_vsmc","endothelial_marker",0.500515995872033,0.0343837791763591,18,0.0653848641819665
"GSE111782","inflammatory_vsmc","fibroblast_marker",0.779153766769866,0.000138476025226459,18,0.000801538839552669
"GSE111782","inflammatory_vsmc","broad_inflammation_marker_nonoverlap",0.886480908152735,9.65676574451123e-07,18,2.32663409806314e-05
"GSE111782","macrophage_marker","vsmc_marker",0.215686274509804,0.390027025820805,18,0.496398032862843
"GSE111782","macrophage_marker","endothelial_marker",0.713106295149639,0.000893230474810856,18,0.00312630666183799
"GSE111782","macrophage_marker","fibroblast_marker",0.70485036119711,0.00108866631677656,18,0.00351722963881658
"GSE111782","macrophage_marker","broad_inflammation_marker_nonoverlap",0.810113519091847,4.5945543436253e-05,18,0.000385942564864525
"GSE111782","vsmc_marker","endothelial_marker",0.151702786377709,0.547900667594631,18,0.63921744552707
"GSE111782","vsmc_marker","fibroblast_marker",0.422084623323013,0.0810190486949894,18,0.130876924814983
"GSE111782","vsmc_marker","broad_inflammation_marker_nonoverlap",0.368421052631579,0.132487156360556,18,0.188772470697732
"GSE111782","endothelial_marker","fibroblast_marker",0.597523219814242,0.00882737442154776,18,0.0218088073944121
"GSE111782","endothelial_marker","broad_inflammation_marker_nonoverlap",0.504643962848297,0.0326937333777391,18,0.0653848641819665
"GSE111782","fibroblast_marker","broad_inflammation_marker_nonoverlap",0.737874097007224,0.000473056695909005,18,0.00198683812281782
"GSE311535","efferocytosis","inflammatory_vsmc",0.881118881118881,0.000152674064676699,12,0.000801538839552669
"GSE311535","efferocytosis","macrophage_marker",0.846153846153846,0.000521133700481004,12,0.00198978322001838
"GSE311535","efferocytosis","vsmc_marker",-0.321678321678322,0.307909876180653,12,0.41716821934153
"GSE311535","efferocytosis","endothelial_marker",-0.13986013986014,0.664633161792669,12,0.734594547244529
"GSE311535","efferocytosis","fibroblast_marker",0,1,12,1
"GSE311535","efferocytosis","broad_inflammation_marker_nonoverlap",0.727272727272727,0.00735502885780513,12,0.0193069507517385
"GSE311535","inflammatory_vsmc","macrophage_marker",0.783216783216783,0.00258621483336258,12,0.00724140153341524
"GSE311535","inflammatory_vsmc","vsmc_marker",-0.538461538461539,0.0708943175492231,12,0.119102453482695
"GSE311535","inflammatory_vsmc","endothelial_marker",0.041958041958042,0.896985870819554,12,0.959798009531298
"GSE311535","inflammatory_vsmc","fibroblast_marker",-0.00699300699300699,0.982791768902847,12,1
"GSE311535","inflammatory_vsmc","broad_inflammation_marker_nonoverlap",0.86013986013986,0.000331668339126922,12,0.0015477855825923
"GSE311535","macrophage_marker","vsmc_marker",-0.601398601398601,0.0385884529220194,12,0.067529792613534
"GSE311535","macrophage_marker","endothelial_marker",0.034965034965035,0.91409334241076,12,0.959798009531298
"GSE311535","macrophage_marker","fibroblast_marker",-0.300699300699301,0.342259528940024,12,0.449215631733782
"GSE311535","macrophage_marker","broad_inflammation_marker_nonoverlap",0.685314685314685,0.0139059688143628,12,0.0324472605668465
"GSE311535","vsmc_marker","endothelial_marker",-0.48951048951049,0.106252371759346,12,0.165281467181205
"GSE311535","vsmc_marker","fibroblast_marker",0.664335664335664,0.0184527180284454,12,0.0407902187997214
"GSE311535","vsmc_marker","broad_inflammation_marker_nonoverlap",-0.608391608391608,0.0358059970520293,12,0.0653848641819665
"GSE311535","endothelial_marker","fibroblast_marker",-0.20979020979021,0.512840943181826,12,0.615409131818192
"GSE311535","endothelial_marker","broad_inflammation_marker_nonoverlap",0.223776223776224,0.484451661455399,12,0.598440287680199
"GSE311535","fibroblast_marker","broad_inflammation_marker_nonoverlap",-0.174825174825175,0.586823664362705,12,0.666124159546854
