"cohort","signature","gene","nominal_weight","spearman_rho_with_signature_score","P_value","mean_standardized_expression","sd_standardized_expression","FDR"
"GSE111782","efferocytosis","MERTK",0.0344827586206897,0.446852425180599,0.0630102910638672,-5.65887277238004e-16,1,0.0961736021501131
"GSE111782","efferocytosis","AXL",0.0344827586206897,0.727554179566563,0.000621502093251937,-2.39033450633339e-16,1,0.00200261785603402
"GSE111782","efferocytosis","TYRO3",0.0344827586206897,-0.380804953560372,0.118984336847686,4.73410855270393e-16,1,0.15684298948104
"GSE111782","efferocytosis","GAS6",0.0344827586206897,0.236326109391125,0.345101248809779,1.27519342018693e-15,1,0.400317448619343
"GSE111782","efferocytosis","PROS1",0.0344827586206897,0.448916408668731,0.0616573626261407,2.54727277080067e-17,1,0.0961736021501131
"GSE111782","efferocytosis","MFGE8",0.0344827586206897,0.29426952811571,0.235890066737445,3.50070811459361e-16,1,0.297426605886344
"GSE111782","efferocytosis","ITGAV",0.0344827586206897,0.405572755417957,0.0949534247922294,-3.95173621834758e-16,1,0.131126158046412
"GSE111782","efferocytosis","ITGB3",0.0344827586206897,0.114551083591331,0.650834223870532,-6.71795759453629e-16,1,0.67407830329448
"GSE111782","efferocytosis","ITGB5",0.0344827586206897,0.48813209494324,0.0398595309009998,-2.08166817117217e-16,1,0.0679956703605291
"GSE111782","efferocytosis","CD36",0.0344827586206897,0.824987203384044,2.51510630830578e-05,-1.8965519439929e-16,1,0.000159998173946186
"GSE111782","efferocytosis","STAB1",0.0344827586206897,0.51702786377709,0.0280061473637872,1.58870252505192e-16,1,0.0541452182366552
"GSE111782","efferocytosis","STAB2",0.0344827586206897,-0.186790505675955,0.457989434768828,-6.97358837342676e-16,1,0.510834369549846
"GSE111782","efferocytosis","LRP1",0.0344827586206897,0.171399093569151,0.496479782501355,1.45404762690192e-15,1,0.533256062686641
"GSE111782","efferocytosis","ANXA1",0.0344827586206897,0.406814716061719,0.0938489479599101,-1.12925679609768e-16,1,0.131126158046412
"GSE111782","efferocytosis","ANXA5",0.0344827586206897,0.494324045407637,0.0370440498074462,8.63928431108866e-17,1,0.0671423402759962
"GSE111782","efferocytosis","TREM2",0.0344827586206897,0.640866873065016,0.00415955099439152,-1.44934489997876e-16,1,0.0100522482364462
"GSE111782","efferocytosis","APOE",0.0344827586206897,0.541795665634675,0.020206828397559,5.68989300120393e-16,1,0.0418570016806579
"GSE111782","efferocytosis","ABCA1",0.0344827586206897,0.855521155830753,6.00563291816267e-06,2.99149449424959e-16,1,5.80544515422391e-05
"GSE111782","efferocytosis","ABCG1",0.0344827586206897,0.818369453044376,3.31030704716246e-05,-4.37150315946155e-16,1,0.000159998173946186
"GSE111782","efferocytosis","NR1H3",0.0344827586206897,0.929824561403509,2.36925600419687e-08,1.21801079060642e-16,1,3.43542120608546e-07
"GSE111782","efferocytosis","PPARG",0.0344827586206897,0.0856553147574819,0.735410412423237,-2.16671780825825e-16,1,0.735410412423237
"GSE111782","efferocytosis","MARCO",0.0344827586206897,0.25077399380805,0.315513395959486,-3.18825083641957e-16,1,0.381245353451045
"GSE111782","efferocytosis","MSR1",0.0344827586206897,0.764705882352941,0.000218793097693927,-3.65449918108798e-16,1,0.000793124979140486
"GSE111782","efferocytosis","FCGR1A",0.0344827586206897,0.721362229102167,0.00072795992426615,3.13014437623793e-16,1,0.00211108378037183
"GSE111782","efferocytosis","FCGR3A",0.0344827586206897,0.79360165118679,8.46599736041267e-05,-2.35169474557509e-16,1,0.000350734176359953
"GSE111782","efferocytosis","CTSD",0.0344827586206897,0.543859649122807,0.0196435637277916,-8.62009995598107e-16,1,0.0418570016806579
"GSE111782","efferocytosis","CTSB",0.0344827586206897,0.947314555077996,2.52870259657515e-09,4.9960036108132e-16,1,7.33323753006793e-08
"GSE111782","efferocytosis","LAMP1",0.0344827586206897,0.818369453044376,3.31030704716246e-05,2.95625039446206e-16,1,0.000159998173946186
"GSE111782","efferocytosis","LAMP2",0.0344827586206897,0.70485036119711,0.00108866631677656,2.96083566614986e-16,1,0.00287012028968366
"GSE311535","efferocytosis","MERTK",0.0333333333333333,0.783216783216783,0.00258621483336258,-5.50634660842024e-16,1,0.00705331318189796
"GSE311535","efferocytosis","AXL",0.0333333333333333,-0.118881118881119,0.712884219214771,8.280503742177e-16,1,0.763804520587255
"GSE311535","efferocytosis","TYRO3",0.0333333333333333,-0.314685314685315,0.319138785503305,1.18425596296971e-15,1,0.382966542603966
