"sample","cohort","group","efferocytosis","inflammatory_vsmc_associated"
"GSM3039648","GSE111782","symptomatic",0.511747802007318,0.255295352366037
"GSM3039649","GSE111782","symptomatic",-0.0969277723667919,0.0670331378569445
"GSM3039650","GSE111782","symptomatic",-0.678371308206603,-0.935823181215664
"GSM3039651","GSE111782","symptomatic",-1.14836765735831,-0.800701159658817
"GSM3039652","GSE111782","symptomatic",-0.542315557430186,-1.00842687593217
"GSM3039653","GSE111782","symptomatic",-0.0206051329207295,-0.222140852837274
"GSM3039654","GSE111782","symptomatic",0.170583513770606,0.74241825370763
"GSM3039655","GSE111782","symptomatic",0.542942813279327,0.531784053420212
"GSM3039656","GSE111782","symptomatic",0.15724676210201,0.215733870822685
"GSM3039657","GSE111782","asymptomatic",-0.730487769112228,-0.936662207991679
"GSM3039658","GSE111782","asymptomatic",0.374006124983989,0.665191859502268
"GSM3039659","GSE111782","asymptomatic",-0.0274370020702624,-0.362797086737436
"GSM3039660","GSE111782","asymptomatic",0.442484571123861,0.0714651786547314
"GSM3039661","GSE111782","asymptomatic",0.418464421973475,0.618540415403001
"GSM3039662","GSE111782","asymptomatic",0.584850735822624,0.645966516653116
"GSM3039663","GSE111782","asymptomatic",0.56319606807594,0.594048397486127
"GSM3039664","GSE111782","asymptomatic",-0.728582524545447,-0.586725045059191
"GSM3039665","GSE111782","asymptomatic",0.207571910871403,0.445799373559484
"Asymp1","GSE311535","asymptomatic",-0.0571121872355619,0.625940798798374
"Asymp2","GSE311535","asymptomatic",-0.288092398761928,0.103691158156672
"Symp1","GSE311535","symptomatic",-0.722166186692328,-1.05629501378754
"Symp2","GSE311535","symptomatic",0.247917236914884,0.406041741556325
"Symp3","GSE311535","symptomatic",-0.386553990678687,-0.304292351962347
"Symp4","GSE311535","symptomatic",0.487010288769436,0.665861359803916
"Asymp3","GSE311535","asymptomatic",0.0876616991566726,-0.163154484524092
"Symp5","GSE311535","symptomatic",0.864409740426556,0.92334852209029
"Symp6","GSE311535","symptomatic",0.200103881827573,-0.235093064963733
"Asymp4","GSE311535","asymptomatic",-0.705675923001608,-0.891897613632528
"Asymp5","GSE311535","asymptomatic",0.499360662094242,0.711559210896951
"Asymp6","GSE311535","asymptomatic",-0.226862822819249,-0.785710262432284
