"sample","group","cohort","signature","score"
"GSM3039648","symptomatic","GSE111782","efferocytosis",0.511747802007318
"GSM3039649","symptomatic","GSE111782","efferocytosis",-0.0969277723667919
"GSM3039650","symptomatic","GSE111782","efferocytosis",-0.678371308206603
"GSM3039651","symptomatic","GSE111782","efferocytosis",-1.14836765735831
"GSM3039652","symptomatic","GSE111782","efferocytosis",-0.542315557430186
"GSM3039653","symptomatic","GSE111782","efferocytosis",-0.0206051329207295
"GSM3039654","symptomatic","GSE111782","efferocytosis",0.170583513770606
"GSM3039655","symptomatic","GSE111782","efferocytosis",0.542942813279327
"GSM3039656","symptomatic","GSE111782","efferocytosis",0.15724676210201
"GSM3039657","asymptomatic","GSE111782","efferocytosis",-0.730487769112228
"GSM3039658","asymptomatic","GSE111782","efferocytosis",0.374006124983989
"GSM3039659","asymptomatic","GSE111782","efferocytosis",-0.0274370020702624
"GSM3039660","asymptomatic","GSE111782","efferocytosis",0.442484571123861
"GSM3039661","asymptomatic","GSE111782","efferocytosis",0.418464421973475
"GSM3039662","asymptomatic","GSE111782","efferocytosis",0.584850735822624
"GSM3039663","asymptomatic","GSE111782","efferocytosis",0.56319606807594
"GSM3039664","asymptomatic","GSE111782","efferocytosis",-0.728582524545447
"GSM3039665","asymptomatic","GSE111782","efferocytosis",0.207571910871403
"Asymp1","asymptomatic","GSE311535","efferocytosis",-0.0571121872355619
"Asymp2","asymptomatic","GSE311535","efferocytosis",-0.288092398761928
"Symp1","symptomatic","GSE311535","efferocytosis",-0.722166186692328
"Symp2","symptomatic","GSE311535","efferocytosis",0.247917236914884
"Symp3","symptomatic","GSE311535","efferocytosis",-0.386553990678687
"Symp4","symptomatic","GSE311535","efferocytosis",0.487010288769436
"Asymp3","asymptomatic","GSE311535","efferocytosis",0.0876616991566726
"Symp5","symptomatic","GSE311535","efferocytosis",0.864409740426556
"Symp6","symptomatic","GSE311535","efferocytosis",0.200103881827573
"Asymp4","asymptomatic","GSE311535","efferocytosis",-0.705675923001608
"Asymp5","asymptomatic","GSE311535","efferocytosis",0.499360662094242
"Asymp6","asymptomatic","GSE311535","efferocytosis",-0.226862822819249
"GSM3039648","symptomatic","GSE111782","contractile_vsmc",-0.0289598802407115
"GSM3039649","symptomatic","GSE111782","contractile_vsmc",0.059193985099696
"GSM3039650","symptomatic","GSE111782","contractile_vsmc",-0.771634333516593
"GSM3039651","symptomatic","GSE111782","contractile_vsmc",-1.0394755642767
"GSM3039652","symptomatic","GSE111782","contractile_vsmc",-0.382149032476097
"GSM3039653","symptomatic","GSE111782","contractile_vsmc",-0.498129905783971
"GSM3039654","symptomatic","GSE111782","contractile_vsmc",0.0389737063787334
"GSM3039655","symptomatic","GSE111782","contractile_vsmc",0.175681606157928
"GSM3039656","symptomatic","GSE111782","contractile_vsmc",0.427585690824988
"GSM3039657","asymptomatic","GSE111782","contractile_vsmc",-1.0589355469994
"GSM3039658","asymptomatic","GSE111782","contractile_vsmc",0.246839848977759
"GSM3039659","asymptomatic","GSE111782","contractile_vsmc",0.740629076447561
"GSM3039660","asymptomatic","GSE111782","contractile_vsmc",0.40848644928682
"GSM3039661","asymptomatic","GSE111782","contractile_vsmc",0.125360463236558
"GSM3039662","asymptomatic","GSE111782","contractile_vsmc",0.107883035442268
"GSM3039663","asymptomatic","GSE111782","contractile_vsmc",0.389177863457278
"GSM3039664","asymptomatic","GSE111782","contractile_vsmc",0.597197769412612
"GSM3039665","asymptomatic","GSE111782","contractile_vsmc",0.46227476857127
"Asymp1","asymptomatic","GSE311535","contractile_vsmc",0.0855459885494513
"Asymp2","asymptomatic","GSE311535","contractile_vsmc",-1.1392959291234
"Symp1","symptomatic","GSE311535","contractile_vsmc",1.27098740516567
"Symp2","symptomatic","GSE311535","contractile_vsmc",-0.565845324269563
"Symp3","symptomatic","GSE311535","contractile_vsmc",-1.12446554150425
"Symp4","symptomatic","GSE311535","contractile_vsmc",-0.571870722386618
"Asymp3","asymptomatic","GSE311535","contractile_vsmc",-0.364472704138062
"Symp5","symptomatic","GSE311535","contractile_vsmc",-0.840994728324668
"Symp6","symptomatic","GSE311535","contractile_vsmc",0.244144484143703
"Asymp4","asymptomatic","GSE311535","contractile_vsmc",1.79032466106882
"Asymp5","asymptomatic","GSE311535","contractile_vsmc",0.273041645352273
"Asymp6","asymptomatic","GSE311535","contractile_vsmc",0.94290076546665
"GSM3039648","symptomatic","GSE111782","synthetic_vsmc",0.309566424899239
"GSM3039649","symptomatic","GSE111782","synthetic_vsmc",0.792315918932841
"GSM3039650","symptomatic","GSE111782","synthetic_vsmc",-1.19598433051707
"GSM3039651","symptomatic","GSE111782","synthetic_vsmc",-1.77282209149816
"GSM3039652","symptomatic","GSE111782","synthetic_vsmc",-1.14545902157977
"GSM3039653","symptomatic","GSE111782","synthetic_vsmc",-0.425453124167077
"GSM3039654","symptomatic","GSE111782","synthetic_vsmc",0.612047570008524
"GSM3039655","symptomatic","GSE111782","synthetic_vsmc",0.492114585748227
"GSM3039656","symptomatic","GSE111782","synthetic_vsmc",0.520603756798452
"GSM3039657","asymptomatic","GSE111782","synthetic_vsmc",-1.40191510462061
"GSM3039658","asymptomatic","GSE111782","synthetic_vsmc",0.740636974708874
"GSM3039659","asymptomatic","GSE111782","synthetic_vsmc",0.0919224357843403
"GSM3039660","asymptomatic","GSE111782","synthetic_vsmc",0.378052572368425
