"file","major_cell_type","n_cells","group"
"GSM8121894_athero_human_1.txt.gz","macrophage",220,"asymptomatic"
"GSM8121895_athero_human_2.txt.gz","macrophage",10,"asymptomatic"
"GSM8121896_athero_human_3.txt.gz","macrophage",170,"asymptomatic"
"GSM8121897_athero_human_4.txt.gz","macrophage",53,"symptomatic"
"GSM8121898_athero_human_5.txt.gz","macrophage",7,"asymptomatic"
"GSM8121899_athero_human_6.txt.gz","macrophage",5,"symptomatic"
"GSM8121900_athero_human_7.txt.gz","macrophage",193,"symptomatic"
"GSM8121901_athero_human_8.txt.gz","macrophage",97,"symptomatic"
"GSM8121902_athero_human_9.txt.gz","macrophage",391,"asymptomatic"
"GSM8121903_athero_human_10.txt.gz","macrophage",144,"symptomatic"
"GSM8121904_athero_human_11.txt.gz","macrophage",256,"symptomatic"
"GSM8121905_athero_human_12.txt.gz","macrophage",216,"symptomatic"
"GSM8121906_athero_human_13.txt.gz","macrophage",215,"asymptomatic"
"GSM8121907_athero_human_14.txt.gz","macrophage",210,"asymptomatic"
"GSM8121908_athero_human_15.txt.gz","macrophage",84,"symptomatic"
"GSM8121894_athero_human_1.txt.gz","vsmc",85,"asymptomatic"
"GSM8121895_athero_human_2.txt.gz","vsmc",137,"asymptomatic"
"GSM8121896_athero_human_3.txt.gz","vsmc",61,"asymptomatic"
"GSM8121897_athero_human_4.txt.gz","vsmc",112,"symptomatic"
"GSM8121898_athero_human_5.txt.gz","vsmc",41,"asymptomatic"
"GSM8121899_athero_human_6.txt.gz","vsmc",21,"symptomatic"
"GSM8121900_athero_human_7.txt.gz","vsmc",136,"symptomatic"
"GSM8121901_athero_human_8.txt.gz","vsmc",15,"symptomatic"
"GSM8121902_athero_human_9.txt.gz","vsmc",76,"asymptomatic"
"GSM8121903_athero_human_10.txt.gz","vsmc",126,"symptomatic"
"GSM8121904_athero_human_11.txt.gz","vsmc",115,"symptomatic"
"GSM8121905_athero_human_12.txt.gz","vsmc",81,"symptomatic"
"GSM8121906_athero_human_13.txt.gz","vsmc",346,"asymptomatic"
"GSM8121907_athero_human_14.txt.gz","vsmc",155,"asymptomatic"
"GSM8121908_athero_human_15.txt.gz","vsmc",4,"symptomatic"
"GSM8121894_athero_human_1.txt.gz","endothelial",125,"asymptomatic"
"GSM8121895_athero_human_2.txt.gz","endothelial",127,"asymptomatic"
"GSM8121896_athero_human_3.txt.gz","endothelial",59,"asymptomatic"
"GSM8121897_athero_human_4.txt.gz","endothelial",18,"symptomatic"
"GSM8121898_athero_human_5.txt.gz","endothelial",90,"asymptomatic"
"GSM8121899_athero_human_6.txt.gz","endothelial",64,"symptomatic"
"GSM8121900_athero_human_7.txt.gz","endothelial",14,"symptomatic"
"GSM8121901_athero_human_8.txt.gz","endothelial",6,"symptomatic"
"GSM8121902_athero_human_9.txt.gz","endothelial",17,"asymptomatic"
"GSM8121903_athero_human_10.txt.gz","endothelial",11,"symptomatic"
"GSM8121904_athero_human_11.txt.gz","endothelial",8,"symptomatic"
"GSM8121905_athero_human_12.txt.gz","endothelial",6,"symptomatic"
"GSM8121906_athero_human_13.txt.gz","endothelial",23,"asymptomatic"
"GSM8121907_athero_human_14.txt.gz","endothelial",157,"asymptomatic"
"GSM8121908_athero_human_15.txt.gz","endothelial",31,"symptomatic"
"GSM8121894_athero_human_1.txt.gz","fibroblast",195,"asymptomatic"
"GSM8121895_athero_human_2.txt.gz","fibroblast",112,"asymptomatic"
"GSM8121896_athero_human_3.txt.gz","fibroblast",101,"asymptomatic"
"GSM8121897_athero_human_4.txt.gz","fibroblast",146,"symptomatic"
"GSM8121898_athero_human_5.txt.gz","fibroblast",41,"asymptomatic"
"GSM8121899_athero_human_6.txt.gz","fibroblast",30,"symptomatic"
"GSM8121900_athero_human_7.txt.gz","fibroblast",166,"symptomatic"
"GSM8121901_athero_human_8.txt.gz","fibroblast",31,"symptomatic"
"GSM8121902_athero_human_9.txt.gz","fibroblast",65,"asymptomatic"
"GSM8121903_athero_human_10.txt.gz","fibroblast",80,"symptomatic"
"GSM8121904_athero_human_11.txt.gz","fibroblast",165,"symptomatic"
"GSM8121905_athero_human_12.txt.gz","fibroblast",175,"symptomatic"
"GSM8121906_athero_human_13.txt.gz","fibroblast",204,"asymptomatic"
"GSM8121907_athero_human_14.txt.gz","fibroblast",120,"asymptomatic"
"GSM8121908_athero_human_15.txt.gz","fibroblast",14,"symptomatic"
"GSM8121894_athero_human_1.txt.gz","t_nk",39,"asymptomatic"
"GSM8121895_athero_human_2.txt.gz","t_nk",2,"asymptomatic"
"GSM8121896_athero_human_3.txt.gz","t_nk",6,"asymptomatic"
"GSM8121897_athero_human_4.txt.gz","t_nk",6,"symptomatic"
"GSM8121898_athero_human_5.txt.gz","t_nk",4,"asymptomatic"
"GSM8121899_athero_human_6.txt.gz","t_nk",10,"symptomatic"
"GSM8121900_athero_human_7.txt.gz","t_nk",73,"symptomatic"
"GSM8121901_athero_human_8.txt.gz","t_nk",8,"symptomatic"
"GSM8121902_athero_human_9.txt.gz","t_nk",59,"asymptomatic"
"GSM8121903_athero_human_10.txt.gz","t_nk",7,"symptomatic"
"GSM8121904_athero_human_11.txt.gz","t_nk",8,"symptomatic"
"GSM8121905_athero_human_12.txt.gz","t_nk",9,"symptomatic"
"GSM8121906_athero_human_13.txt.gz","t_nk",20,"asymptomatic"
"GSM8121907_athero_human_14.txt.gz","t_nk",70,"asymptomatic"
"GSM8121908_athero_human_15.txt.gz","t_nk",11,"symptomatic"
"GSM8121894_athero_human_1.txt.gz","b_cell",16,"asymptomatic"
"GSM8121895_athero_human_2.txt.gz","b_cell",5,"asymptomatic"
"GSM8121896_athero_human_3.txt.gz","b_cell",14,"asymptomatic"
"GSM8121897_athero_human_4.txt.gz","b_cell",6,"symptomatic"
"GSM8121898_athero_human_5.txt.gz","b_cell",7,"asymptomatic"
"GSM8121899_athero_human_6.txt.gz","b_cell",16,"symptomatic"
"GSM8121900_athero_human_7.txt.gz","b_cell",12,"symptomatic"
"GSM8121901_athero_human_8.txt.gz","b_cell",9,"symptomatic"
"GSM8121902_athero_human_9.txt.gz","b_cell",32,"asymptomatic"
"GSM8121903_athero_human_10.txt.gz","b_cell",14,"symptomatic"
"GSM8121904_athero_human_11.txt.gz","b_cell",4,"symptomatic"
"GSM8121905_athero_human_12.txt.gz","b_cell",13,"symptomatic"
"GSM8121906_athero_human_13.txt.gz","b_cell",24,"asymptomatic"
"GSM8121907_athero_human_14.txt.gz","b_cell",23,"asymptomatic"
"GSM8121908_athero_human_15.txt.gz","b_cell",12,"symptomatic"
"GSM8121894_athero_human_1.txt.gz","mast",10,"asymptomatic"
"GSM8121895_athero_human_2.txt.gz","mast",6,"asymptomatic"
"GSM8121896_athero_human_3.txt.gz","mast",5,"asymptomatic"
"GSM8121897_athero_human_4.txt.gz","mast",16,"symptomatic"
"GSM8121898_athero_human_5.txt.gz","mast",11,"asymptomatic"
"GSM8121899_athero_human_6.txt.gz","mast",18,"symptomatic"
"GSM8121900_athero_human_7.txt.gz","mast",10,"symptomatic"
"GSM8121901_athero_human_8.txt.gz","mast",20,"symptomatic"
"GSM8121902_athero_human_9.txt.gz","mast",27,"asymptomatic"
"GSM8121903_athero_human_10.txt.gz","mast",7,"symptomatic"
"GSM8121904_athero_human_11.txt.gz","mast",30,"symptomatic"
"GSM8121905_athero_human_12.txt.gz","mast",25,"symptomatic"
"GSM8121906_athero_human_13.txt.gz","mast",12,"asymptomatic"
"GSM8121907_athero_human_14.txt.gz","mast",8,"asymptomatic"
"GSM8121908_athero_human_15.txt.gz","mast",11,"symptomatic"
"GSM8121894_athero_human_1.txt.gz","unassigned",31,"asymptomatic"
"GSM8121895_athero_human_2.txt.gz","unassigned",42,"asymptomatic"
"GSM8121896_athero_human_3.txt.gz","unassigned",33,"asymptomatic"
"GSM8121897_athero_human_4.txt.gz","unassigned",60,"symptomatic"
"GSM8121898_athero_human_5.txt.gz","unassigned",22,"asymptomatic"
"GSM8121899_athero_human_6.txt.gz","unassigned",87,"symptomatic"
"GSM8121900_athero_human_7.txt.gz","unassigned",46,"symptomatic"
"GSM8121901_athero_human_8.txt.gz","unassigned",34,"symptomatic"
"GSM8121902_athero_human_9.txt.gz","unassigned",154,"asymptomatic"
"GSM8121903_athero_human_10.txt.gz","unassigned",44,"symptomatic"
"GSM8121904_athero_human_11.txt.gz","unassigned",29,"symptomatic"
"GSM8121905_athero_human_12.txt.gz","unassigned",39,"symptomatic"
"GSM8121906_athero_human_13.txt.gz","unassigned",53,"asymptomatic"
"GSM8121907_athero_human_14.txt.gz","unassigned",36,"asymptomatic"
"GSM8121908_athero_human_15.txt.gz","unassigned",42,"symptomatic"
