"file","cell","group","major_cell_type","sc_cluster","PC1","PC2"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B07","asymptomatic","endothelial","C6",4.20007259012469,12.9329040197069
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B08","asymptomatic","endothelial","C6",4.65314925177699,14.5595192667164
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B10","asymptomatic","endothelial","C6",6.41412614642568,24.4999878645314
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B11","asymptomatic","macrophage","C9",-12.1976428487452,-0.315263657631394
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B13","asymptomatic","endothelial","C6",2.32557236375235,9.93802687641227
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B14","asymptomatic","endothelial","C6",2.33028658571335,10.0058165700572
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B15","asymptomatic","endothelial","C6",3.94803801837666,16.51704015802
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B17","asymptomatic","endothelial","C6",1.33661723658099,13.3023303320235
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B18","asymptomatic","endothelial","C6",3.13851240041958,14.278472097528
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B19","asymptomatic","endothelial","C6",2.77310868679334,12.4509532792004
"GSM8121894_athero_human_1.txt.gz","Plate_730s_B24","asymptomatic","endothelial","C6",5.08883438823459,17.5661564441408
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D01","asymptomatic","endothelial","C6",2.32098241628069,10.5249894198415
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D02","asymptomatic","endothelial","C6",3.54076997825946,16.1327523890497
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D03","asymptomatic","endothelial","C6",5.07350460422547,18.3671881777704
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D04","asymptomatic","endothelial","C6",2.05421901014312,14.6370979435766
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D05","asymptomatic","macrophage","C5",-15.6147279591369,9.82303832647419
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D07","asymptomatic","macrophage","C3",-17.4221734769303,7.08330050432634
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D08","asymptomatic","endothelial","C6",0.657553651002333,12.6954950072693
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D09","asymptomatic","endothelial","C6",2.98942242907564,16.0005542037944
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D13","asymptomatic","macrophage","C9",-14.8521161771267,-3.98263066165254
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D16","asymptomatic","endothelial","C6",0.633010774713018,10.6776897666673
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D17","asymptomatic","macrophage","C5",-9.05626837252422,3.43259146447703
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D18","asymptomatic","macrophage","C5",-19.1344777102357,6.90854248291261
"GSM8121894_athero_human_1.txt.gz","Plate_730s_D22","asymptomatic","unassigned","C6",1.2660624705397,8.58393346706702
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E03","asymptomatic","endothelial","C6",2.91969883823498,10.3036444342457
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E05","asymptomatic","endothelial","C6",2.3222090658477,20.4797505787328
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E06","asymptomatic","endothelial","C6",3.70319873125058,18.7829287483269
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E07","asymptomatic","macrophage","C5",-17.316681743477,9.88569806920976
"GSM8121894_athero_human_1.txt.gz","Plate_730s_E08","asymptomatic","vsmc","C10",8.01911758517452,6.73382578295422
