"signature","gene","module","source_basis"
"efferocytosis","MERTK","recognition_receptor","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","AXL","recognition_receptor","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","TYRO3","recognition_receptor","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","GAS6","bridging_molecule","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","PROS1","bridging_molecule","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","MFGE8","bridging_molecule","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","ITGAV","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","ITGB3","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","ITGB5","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","CD36","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","STAB1","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","STAB2","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","LRP1","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","TIMD4","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","ANXA1","inflammation_resolution_or_ps_binding","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","ANXA5","inflammation_resolution_or_ps_binding","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","TREM2","lipid_handling_resolution","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","APOE","lipid_handling_resolution","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","ABCA1","lipid_handling_resolution","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","ABCG1","lipid_handling_resolution","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","NR1H3","lipid_handling_resolution","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","PPARG","lipid_handling_resolution","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","MARCO","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","MSR1","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","FCGR1A","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","FCGR3A","integrin_or_scavenger_uptake","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","CTSD","lysosomal_processing","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","CTSB","lysosomal_processing","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","LAMP1","lysosomal_processing","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"efferocytosis","LAMP2","lysosomal_processing","GO/Reactome/UniProt and efferocytosis-atherosclerosis literature audit"
"contractile_vsmc","ACTA2","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","TAGLN","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","MYH11","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","CNN1","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","CALD1","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","MYL9","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","TPM2","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","DES","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","PLN","contractile","canonical VSMC markers and plaque single-cell literature audit"
"contractile_vsmc","SYNPO2","contractile","canonical VSMC markers and plaque single-cell literature audit"
