"signature_1","signature_2","n_signature_1","n_signature_2","overlap_count","union_count","jaccard","overlap_genes"
"contractile_vsmc","ecm_remodeling_vsmc",12,12,0,24,0,""
"contractile_vsmc","efferocytosis",12,30,0,42,0,""
"contractile_vsmc","inflammatory_vsmc",12,12,0,24,0,""
"contractile_vsmc","synthetic_vsmc",12,12,0,24,0,""
"ecm_remodeling_vsmc","efferocytosis",12,30,0,42,0,""
"ecm_remodeling_vsmc","inflammatory_vsmc",12,12,0,24,0,""
"ecm_remodeling_vsmc","synthetic_vsmc",12,12,2,22,0.0909090909090909,"COL1A1;SPARC"
"efferocytosis","inflammatory_vsmc",30,12,0,42,0,""
"efferocytosis","synthetic_vsmc",30,12,0,42,0,""
"inflammatory_vsmc","synthetic_vsmc",12,12,0,24,0,""
