"cohort","removed_sample","n_remaining","rho","P_value"
"GSE111782","GSM3039648",17,0.816176470588235,6.4492558896811e-05
"GSE111782","GSM3039649",17,0.769607843137255,0.00030321014516249
"GSE111782","GSM3039650",17,0.781862745098039,0.000209161804322107
"GSE111782","GSM3039651",17,0.781862745098039,0.000209161804322107
"GSE111782","GSM3039652",17,0.786764705882353,0.000179116588092182
"GSE111782","GSM3039653",17,0.767156862745098,0.000325721658435161
"GSE111782","GSM3039654",17,0.852941176470588,1.35439120556831e-05
"GSE111782","GSM3039655",17,0.806372549019608,9.23718755277425e-05
"GSE111782","GSM3039656",17,0.774509803921569,0.0002620675462425
"GSE111782","GSM3039657",17,0.776960784313726,0.000243315331064655
"GSE111782","GSM3039658",17,0.840686274509804,2.37789242859457e-05
"GSE111782","GSM3039659",17,0.767156862745098,0.000325721658435161
"GSE111782","GSM3039660",17,0.82843137254902,3.99231105590535e-05
"GSE111782","GSM3039661",17,0.82843137254902,3.99231105590535e-05
"GSE111782","GSM3039662",17,0.79656862745098,0.000129763581946097
"GSE111782","GSM3039663",17,0.806372549019608,9.23718755277425e-05
"GSE111782","GSM3039664",17,0.776960784313726,0.000243315331064655
"GSE111782","GSM3039665",17,0.801470588235294,0.000109735338171725
"GSE311535","Asymp1",11,0.918181818181818,6.66145194135566e-05
"GSE311535","Asymp2",11,0.927272727272727,3.9737742565586e-05
"GSE311535","Symp1",11,0.845454545454546,0.00104518214585868
"GSE311535","Symp2",11,0.872727272727273,0.000454615051409643
"GSE311535","Symp3",11,0.863636363636364,0.000611693850093171
"GSE311535","Symp4",11,0.845454545454546,0.00104518214585868
"GSE311535","Asymp3",11,0.918181818181818,6.66145194135566e-05
"GSE311535","Symp5",11,0.845454545454546,0.00104518214585868
"GSE311535","Symp6",11,0.918181818181818,6.66145194135566e-05
"GSE311535","Asymp4",11,0.845454545454546,0.00104518214585868
"GSE311535","Asymp5",11,0.845454545454546,0.00104518214585868
"GSE311535","Asymp6",11,0.890909090909091,0.000233458170378732
