"signature","gene"
"efferocytosis","MERTK"
"efferocytosis","AXL"
"efferocytosis","TYRO3"
"efferocytosis","GAS6"
"efferocytosis","PROS1"
"efferocytosis","MFGE8"
"efferocytosis","ITGAV"
"efferocytosis","ITGB3"
"efferocytosis","ITGB5"
"efferocytosis","CD36"
"efferocytosis","STAB1"
"efferocytosis","STAB2"
"efferocytosis","LRP1"
"efferocytosis","TIMD4"
"efferocytosis","ANXA1"
"efferocytosis","ANXA5"
"efferocytosis","TREM2"
"efferocytosis","APOE"
"efferocytosis","ABCA1"
"efferocytosis","ABCG1"
"efferocytosis","NR1H3"
"efferocytosis","PPARG"
"efferocytosis","MARCO"
"efferocytosis","MSR1"
"efferocytosis","FCGR1A"
"efferocytosis","FCGR3A"
"efferocytosis","CTSD"
"efferocytosis","CTSB"
"efferocytosis","LAMP1"
"efferocytosis","LAMP2"
"contractile_vsmc","ACTA2"
"contractile_vsmc","TAGLN"
"contractile_vsmc","MYH11"
"contractile_vsmc","CNN1"
"contractile_vsmc","CALD1"
"contractile_vsmc","MYL9"
"contractile_vsmc","TPM2"
"contractile_vsmc","DES"
"contractile_vsmc","PLN"
"contractile_vsmc","SYNPO2"
"contractile_vsmc","SRF"
"contractile_vsmc","MYLK"
"synthetic_vsmc","COL1A1"
"synthetic_vsmc","COL3A1"
"synthetic_vsmc","COL5A1"
"synthetic_vsmc","FN1"
"synthetic_vsmc","VCAN"
"synthetic_vsmc","SPARC"
"synthetic_vsmc","DCN"
"synthetic_vsmc","LUM"
"synthetic_vsmc","CTGF"
"synthetic_vsmc","FGF2"
"synthetic_vsmc","MMP2"
"synthetic_vsmc","TIMP1"
"inflammatory_vsmc","IL6"
"inflammatory_vsmc","CCL2"
"inflammatory_vsmc","CCL5"
"inflammatory_vsmc","CXCL8"
"inflammatory_vsmc","CXCL12"
"inflammatory_vsmc","ICAM1"
"inflammatory_vsmc","VCAM1"
"inflammatory_vsmc","NFKB1"
"inflammatory_vsmc","RELA"
"inflammatory_vsmc","STAT3"
"inflammatory_vsmc","TNF"
"inflammatory_vsmc","IL1B"
"ecm_remodeling_vsmc","RUNX2"
"ecm_remodeling_vsmc","SOX9"
"ecm_remodeling_vsmc","ALPL"
"ecm_remodeling_vsmc","BMP2"
"ecm_remodeling_vsmc","MSX2"
"ecm_remodeling_vsmc","KLF4"
"ecm_remodeling_vsmc","MMP9"
"ecm_remodeling_vsmc","MMP14"
"ecm_remodeling_vsmc","COL1A1"
"ecm_remodeling_vsmc","SPARC"
"ecm_remodeling_vsmc","SPP1"
"ecm_remodeling_vsmc","POSTN"
