"cohort","signature_1","signature_2","rho","P_value","FDR","n_samples"
"GSE111782","efferocytosis","contractile_vsmc",0.358101135190918,0.14452928966155,0.240101192697602,18
"GSE111782","efferocytosis","synthetic_vsmc",0.593395252837977,0.0094326152719585,0.0471630763597925,18
"GSE111782","efferocytosis","inflammatory_vsmc",0.799793601651187,6.77596194348165e-05,0.00135519238869633,18
"GSE111782","efferocytosis","ecm_remodeling_vsmc",0.33952528379773,0.168070834888322,0.240101192697602,18
"GSE111782","contractile_vsmc","synthetic_vsmc",0.457172342621259,0.0564616251020334,0.141154062755083,18
"GSE111782","contractile_vsmc","inflammatory_vsmc",0.345717234262126,0.159953062786459,0.240101192697602,18
"GSE111782","contractile_vsmc","ecm_remodeling_vsmc",0.021671826625387,0.931979735198738,0.931979735198738,18
"GSE111782","synthetic_vsmc","inflammatory_vsmc",0.758513931888545,0.000263646129590713,0.00175764086393809,18
"GSE111782","synthetic_vsmc","ecm_remodeling_vsmc",0.506707946336429,0.0318731322605115,0.0910660921728899,18
"GSE111782","inflammatory_vsmc","ecm_remodeling_vsmc",0.308565531475748,0.212828705958684,0.283771607944911,18
"GSE311535","efferocytosis","contractile_vsmc",-0.307692307692308,0.33058925941211,0.413236574265137,12
"GSE311535","efferocytosis","synthetic_vsmc",0.153846153846154,0.633090681246262,0.733350641469227,12
"GSE311535","efferocytosis","inflammatory_vsmc",0.881118881118881,0.000152674064676699,0.00152674064676699,12
"GSE311535","efferocytosis","ecm_remodeling_vsmc",0.482517482517483,0.112109291468892,0.203835075397985,12
"GSE311535","contractile_vsmc","synthetic_vsmc",0.629370629370629,0.02831967129576,0.0910660921728899,12
"GSE311535","contractile_vsmc","inflammatory_vsmc",-0.510489510489511,0.089913736302639,0.179827472605278,12
"GSE311535","contractile_vsmc","ecm_remodeling_vsmc",-0.13986013986014,0.664633161792669,0.733350641469227,12
"GSE311535","synthetic_vsmc","inflammatory_vsmc",0.125874125874126,0.696683109395766,0.733350641469227,12
"GSE311535","synthetic_vsmc","ecm_remodeling_vsmc",0.545454545454546,0.066611882266889,0.148026405037531,12
"GSE311535","inflammatory_vsmc","ecm_remodeling_vsmc",0.65034965034965,0.0220341909323653,0.0881367637294612,12
