"cohort","signature","n_asymptomatic","n_symptomatic","median_asymptomatic","median_symptomatic","median_difference_symptomatic_minus_asymptomatic","bootstrap_ci_low","bootstrap_ci_high","P_value","FDR"
"GSE111782","contractile_vsmc",9,9,0.389177863457278,-0.0289598802407115,-0.41813774369799,-1.01847418249435,-0.0689093290635346,0.0340691951441439,0.340691951441439
"GSE111782","ecm_remodeling_vsmc",9,9,-0.064540217030123,0.198441043407613,0.262981260437736,-0.279558061712843,0.542821821955303,0.216373008057637,0.756955186489358
"GSE111782","efferocytosis",9,9,0.374006124983989,-0.0206051329207295,-0.394611257904719,-0.984800128554047,0.631654752178655,0.331387096247615,0.756955186489358
"GSE111782","inflammatory_vsmc",9,9,0.445799373559484,0.0670331378569445,-0.37876623570254,-1.41924157506182,0.653758182916136,0.377224616667453,0.756955186489358
"GSE111782","synthetic_vsmc",9,9,0.378052572368425,0.309566424899239,-0.068486147469186,-1.61571215332476,0.323182810292406,0.791081512920782,0.878979458800868
"GSE311535","contractile_vsmc",6,6,0.179293816950862,-0.56885802332809,-0.748151840278953,-1.9324580375373,0.672019956105235,0.378477593244679,0.756955186489358
"GSE311535","ecm_remodeling_vsmc",6,6,-0.225416629107931,0.303431961376112,0.528848590484043,-0.451026870656671,0.847976203236956,0.575173531920197,0.82167647417171
"GSE311535","efferocytosis",6,6,-0.141987505027405,0.224010559371228,0.365998064398634,-0.47421568983536,0.902572837417245,0.575173531920197,0.82167647417171
"GSE311535","inflammatory_vsmc",6,6,-0.02973166318371,0.085474338296296,0.115206001480006,-0.930233150760721,1.24484567958873,0.936186293473059,0.936186293473059
"GSE311535","synthetic_vsmc",6,6,0.120560848285767,-0.0373374826389586,-0.157898330924726,-1.20691689800736,0.832646735404519,0.688920555804461,0.861150694755576
